	reads.in	reads.out
SRR6010742.fq.gz	117715	116166
SRR6010743.fq.gz	83223	82138
SRR6010744.fq.gz	181848	179246
SRR6010745.fq.gz	137387	135592
SRR6010746.fq.gz	16221	16009
SRR6010747.fq.gz	36579	36161
SRR6010748.fq.gz	89462	88301
SRR6010749.fq.gz	75288	74347
SRR6010750.fq.gz	111437	109901
SRR6010751.fq.gz	128970	127272
SRR6010752.fq.gz	110395	108921
SRR6010753.fq.gz	86154	84919
SRR6010754.fq.gz	37713	37180
SRR6010755.fq.gz	94593	93171
SRR6010756.fq.gz	72678	71735
SRR6010757.fq.gz	90409	89002
SRR6010758.fq.gz	65205	64448
SRR6010759.fq.gz	126029	124366
SRR6010760.fq.gz	66400	65573
SRR6010761.fq.gz	26313	25988
SRR6010762.fq.gz	57101	56416
SRR6010763.fq.gz	40542	40017
SRR6010764.fq.gz	67836	66997
SRR6010765.fq.gz	90156	88940
SRR6010766.fq.gz	72222	71308
SRR6010767.fq.gz	30045	29702
SRR6010768.fq.gz	82879	81822
SRR6010769.fq.gz	115786	114220
SRR6010770.fq.gz	88782	87466
SRR6010771.fq.gz	130273	128404
SRR6010772.fq.gz	22676	22318
SRR6010773.fq.gz	150609	148689
SRR6010774.fq.gz	70458	69653
SRR6010775.fq.gz	105098	103616
SRR6010776.fq.gz	110513	108881
SRR6010777.fq.gz	77307	76380
SRR6010778.fq.gz	125357	123726
SRR6010779.fq.gz	44056	43497
SRR6010780.fq.gz	76244	75095
SRR6010781.fq.gz	95350	93985
SRR6010782.fq.gz	126490	124738
SRR6010783.fq.gz	83676	82543
SRR6010784.fq.gz	92053	90800
SRR6010785.fq.gz	51939	51226
SRR6010786.fq.gz	42930	42335
SRR6010787.fq.gz	32807	32352
SRR6010788.fq.gz	137764	135659
SRR6010789.fq.gz	113464	112058
SRR6010790.fq.gz	25354	25001
SRR6010791.fq.gz	157319	155139
SRR6010792.fq.gz	97938	96561
SRR6010793.fq.gz	157507	155516
SRR6010794.fq.gz	97392	96114
SRR6010795.fq.gz	77826	76799
SRR6010796.fq.gz	160456	158551
SRR6010797.fq.gz	44518	43940
SRR6010798.fq.gz	103362	102127
SRR6010799.fq.gz	95070	93681
SRR6010800.fq.gz	138788	136738
SRR6010801.fq.gz	51224	50573
SRR6010802.fq.gz	109252	107548
SRR6010803.fq.gz	109926	108352
SRR6010804.fq.gz	78961	77833
SRR6010805.fq.gz	40514	40013
SRR6010806.fq.gz	77219	76051
SRR6010807.fq.gz	130266	128381
SRR6010808.fq.gz	147662	145827
SRR6010809.fq.gz	102598	101150
SRR6010810.fq.gz	95448	94169
SRR6010811.fq.gz	84455	83168
SRR6010812.fq.gz	47253	46466
SRR6010813.fq.gz	93602	92437
SRR6010814.fq.gz	69542	68488
SRR6010815.fq.gz	83241	81989
SRR6010816.fq.gz	101156	99920
SRR6010817.fq.gz	95976	94720
SRR6010818.fq.gz	141984	140137
SRR6010819.fq.gz	122547	121000
SRR6010820.fq.gz	34028	33550
SRR6010821.fq.gz	92893	91574
