Run ID,Project ID,Sample Site,Person ID,Sample Site,After GFD
SRR6010745,PRJNA401920,stool,,,
SRR6010746,PRJNA401920,Duodenum,,,
SRR6010747,PRJNA401920,Duodenum,,,
SRR6010748,PRJNA401920,Duodenum,,,
SRR6010749,PRJNA401920,Duodenum,,,
SRR6010750,PRJNA401920,Duodenum,,,
SRR6010751,PRJNA401920,Duodenum,,,
SRR6010752,PRJNA401920,Duodenum,,,
SRR6010753,PRJNA401920,Duodenum,,,
SRR6010755,PRJNA401920,Duodenum,,,
SRR6010756,PRJNA401920,Duodenum,,,
SRR6010757,PRJNA401920,Duodenum,,,
SRR6010758,PRJNA401920,Duodenum,,,
SRR6010759,PRJNA401920,Duodenum,,,
SRR6010760,PRJNA401920,Duodenum,,,
SRR6010761,PRJNA401920,Duodenum,,,
SRR6010762,PRJNA401920,Duodenum,,,
SRR6010763,PRJNA401920,Duodenum,,,
SRR6010764,PRJNA401920,Duodenum,,,
SRR6010765,PRJNA401920,Duodenum,,,
SRR6010767,PRJNA401920,Duodenum,,,
SRR6010768,PRJNA401920,stool,,,
SRR6010769,PRJNA401920,stool,,,
SRR6010770,PRJNA401920,stool,,,
SRR6010771,PRJNA401920,stool,,,
SRR6010772,PRJNA401920,stool,,,
SRR6010774,PRJNA401920,Duodenum,,,
SRR6010775,PRJNA401920,stool,,,
SRR6010776,PRJNA401920,stool,,,
SRR6010777,PRJNA401920,Duodenum,,,
SRR6010778,PRJNA401920,Duodenum,,,
SRR6010779,PRJNA401920,Duodenum,,,
SRR6010780,PRJNA401920,Duodenum,,,
SRR6010781,PRJNA401920,Duodenum,,,
SRR6010782,PRJNA401920,Duodenum,,,
SRR6010783,PRJNA401920,Duodenum,,,
SRR6010784,PRJNA401920,Duodenum,,,
SRR6010785,PRJNA401920,Duodenum,,,
SRR6010786,PRJNA401920,Duodenum,,,
SRR6010788,PRJNA401920,stool,,,
SRR6010789,PRJNA401920,Duodenum,,,
SRR6010790,PRJNA401920,Duodenum,,,
SRR6010791,PRJNA401920,stool,,,
SRR6010792,PRJNA401920,Duodenum,,,
SRR6010793,PRJNA401920,stool,,,
SRR6010795,PRJNA401920,Duodenum,,,
SRR6010796,PRJNA401920,Duodenum,,,
SRR6010797,PRJNA401920,Duodenum,,,
SRR6010798,PRJNA401920,Duodenum,,,
SRR6010799,PRJNA401920,stool,,,
SRR6010801,PRJNA401920,Duodenum,,,
SRR6010802,PRJNA401920,Duodenum,,,
SRR6010803,PRJNA401920,Duodenum,,,
SRR6010804,PRJNA401920,Duodenum,,,
SRR6010809,PRJNA401920,stool,,,
SRR6010810,PRJNA401920,stool,,,
SRR6010811,PRJNA401920,Duodenum,,,
SRR6010812,PRJNA401920,stool,,,
SRR6010819,PRJNA401920,stool,,,
SRR6010820,PRJNA401920,stool,,,
SRR6010821,PRJNA401920,stool,,,
SRR6010742,PRJNA401920,stool,,,
SRR6010743,PRJNA401920,stool,,,
SRR6010744,PRJNA401920,stool,,,
SRR6010754,PRJNA401920,Duodenum,,,
SRR6010766,PRJNA401920,Duodenum,,,
SRR6010773,PRJNA401920,stool,,,
SRR6010787,PRJNA401920,Duodenum,,,
SRR6010794,PRJNA401920,Duodenum,,,
SRR6010800,PRJNA401920,Duodenum,,,
SRR6010805,PRJNA401920,Duodenum,,,
SRR6010806,PRJNA401920,Duodenum,,,
SRR6010807,PRJNA401920,Duodenum,,,
SRR6010808,PRJNA401920,Duodenum,,,
SRR6010813,PRJNA401920,stool,,,
SRR6010814,PRJNA401920,Duodenum,,,
SRR6010815,PRJNA401920,stool,,,
SRR6010816,PRJNA401920,stool,,,
SRR6010817,PRJNA401920,Duodenum,,,
SRR6010818,PRJNA401920,stool,,,
