	input	filtered	denoisedF	nonchim
SRR6010742	117715	116166	114538	84630
SRR6010743	83223	82138	81181	61986
SRR6010744	181848	179246	177117	114199
SRR6010745	137387	135592	133596	84648
SRR6010746	16221	16009	15622	13856
SRR6010747	36579	36161	35527	25615
SRR6010748	89462	88301	87228	60479
SRR6010749	75288	74347	73464	62867
SRR6010750	111437	109901	108655	77241
SRR6010751	128970	127272	125907	95106
SRR6010752	110395	108921	107606	75816
SRR6010753	86154	84919	83445	59736
SRR6010754	37713	37180	36624	27738
SRR6010755	94593	93171	91483	72021
SRR6010756	72678	71735	70843	54184
SRR6010757	90409	89002	88059	70450
SRR6010758	65205	64448	63728	47970
SRR6010759	126029	124366	122348	86021
SRR6010760	66400	65573	64527	49069
SRR6010761	26313	25988	25524	20220
SRR6010762	57101	56416	55606	44888
SRR6010763	40542	40017	39326	33817
SRR6010764	67836	66997	65905	50919
SRR6010765	90156	88940	87500	66696
SRR6010766	72222	71308	70102	54995
SRR6010767	30045	29702	29096	22497
SRR6010768	82879	81822	81424	53260
SRR6010769	115786	114220	112626	75872
SRR6010770	88782	87466	86514	62336
SRR6010771	130273	128404	127356	92231
SRR6010772	22676	22318	21949	16698
SRR6010773	150609	148689	147160	96600
SRR6010774	70458	69653	68763	49330
SRR6010775	105098	103616	101695	66291
SRR6010776	110513	108881	107895	80612
SRR6010777	77307	76380	75411	59921
SRR6010778	125357	123726	122068	89971
SRR6010779	44056	43497	42890	33192
SRR6010780	76244	75095	74149	54973
SRR6010781	95350	93985	92900	66254
SRR6010782	126490	124738	123237	84891
SRR6010783	83676	82543	81141	62422
SRR6010784	92053	90800	89461	67674
SRR6010785	51939	51226	50323	36390
SRR6010786	42930	42335	41574	32200
SRR6010787	32807	32352	32071	23898
SRR6010788	137764	135659	134124	101667
SRR6010789	113464	112058	110515	85699
SRR6010790	25354	25001	24601	20065
SRR6010791	157319	155139	153231	93544
SRR6010792	97938	96561	95651	74096
SRR6010793	157507	155516	152960	96508
SRR6010794	97392	96114	94589	72097
SRR6010795	77826	76799	74930	55248
SRR6010796	160456	158551	157062	98059
SRR6010797	44518	43940	43244	29903
SRR6010798	103362	102127	101454	90506
SRR6010799	95070	93681	93514	72450
SRR6010800	138788	136738	134446	99414
SRR6010801	51224	50573	49840	39077
SRR6010802	109252	107548	105889	69686
SRR6010803	109926	108352	106265	78135
SRR6010804	78961	77833	76621	60077
SRR6010805	40514	40013	39229	30119
SRR6010806	77219	76051	74738	61858
SRR6010807	130266	128381	126319	94998
SRR6010808	147662	145827	143793	98473
SRR6010809	102598	101150	100399	68285
SRR6010810	95448	94169	93325	65845
SRR6010811	84455	83168	81951	64082
SRR6010812	47253	46466	45899	39255
SRR6010813	93602	92437	91463	70218
SRR6010814	69542	68488	67444	52465
SRR6010815	83241	81989	80848	52014
SRR6010816	101156	99920	99581	76650
SRR6010817	95976	94720	93791	66990
SRR6010818	141984	140137	138445	96476
SRR6010819	122547	121000	118945	75441
SRR6010820	34028	33550	33096	25111
SRR6010821	92893	91574	91500	84324
