	input	filtered	denoisedF	denoisedR	merged	nonchim
ERR1551211	100461	48344	47316	47380	45961	33067
ERR1551212	47078	22201	21486	21574	19932	12651
ERR1551213	38486	18219	17710	17813	17083	13294
ERR1551214	46678	23377	22824	22868	22289	15403
ERR1551215	84989	43895	42959	43069	41822	29622
ERR1551216	54991	25039	24441	24523	23575	18749
ERR1551217	68295	30382	29689	29592	28076	21073
ERR1551218	110528	51209	50041	50278	48085	35978
ERR1551219	22701	11235	10800	10760	10238	8127
ERR1551220	31358	14193	13652	13630	13017	9402
ERR1551221	86974	44886	43822	44130	42327	24656
ERR1551222	48930	25419	24745	24940	24035	16553
ERR1551223	68651	34824	33977	33855	32719	21567
ERR1551224	57528	28414	27786	27634	26588	18232
ERR1551225	205071	112323	110807	111283	108335	63288
ERR1551226	27312	12887	12449	12443	11946	8939
ERR1551227	134312	69318	67536	68355	65551	35008
ERR1551228	108167	53650	51787	52512	49721	30938
ERR1551229	71462	31496	30878	31120	29911	16862
ERR1551230	98573	41114	40249	40409	38615	25857
ERR1551231	48276	26143	25480	25510	24462	16405
ERR1551232	99766	46167	45252	45350	43501	25121
ERR1551233	102416	47744	46971	47048	46002	31364
ERR1551234	106885	54596	53738	53954	52231	35535
ERR1551235	102394	52408	51479	51864	50675	33099
ERR1551236	98349	52707	52253	51824	48454	27819
ERR1551237	139983	70885	69947	70087	68422	44588
ERR1551238	62377	32680	31917	31903	30697	21596
ERR1551239	229339	122719	121754	121921	120028	70104
ERR1551240	113166	55872	55355	55375	53903	33160
ERR1551241	143441	75926	73888	74999	71181	41151
ERR1551242	180868	93592	92087	92818	90566	54190
ERR1551243	22968	12408	11991	12066	11468	8092
ERR1551244	83741	41327	40520	40579	39321	22265
ERR1551245	281418	141968	140627	140822	137241	77357
ERR1551246	119413	56285	55359	55737	54020	24699
ERR1551247	176960	79278	77123	78153	74748	40072
ERR1551248	140271	61191	59206	60348	57103	31905
ERR1551249	218990	97198	95177	96224	92651	49266
ERR1551250	9365	3534	3427	3419	3279	2504
ERR1551251	48959	22654	22046	22185	21325	13060
ERR1551252	117134	45434	44915	45104	44388	32798
ERR1551253	20169	8310	8023	8154	7819	6121
ERR1551254	1859947	899465	893731	897351	879762	464395
ERR1551255	2733	1083	960	930	802	786
ERR1551256	60199	24669	24285	24210	23414	18327
ERR1551257	20807	8497	8221	8284	7904	6189
ERR1551258	70821	31717	30946	30801	29027	22332
ERR1551259	118011	58262	57864	57611	56203	35197
ERR1551260	70054	38548	38070	37940	37085	25578
ERR1551261	88475	43873	43270	43502	42449	25061
ERR1551262	102544	43644	42487	43086	40911	24050
ERR1551263	182533	84305	83142	83582	81339	47890
ERR1551264	94342	50751	49753	49849	48318	32136
ERR1551265	66403	30812	30334	30355	29697	21777
ERR1551266	168254	89201	87807	88353	85818	49010
ERR1551267	49942	27742	26963	27199	25853	15261
ERR1551268	103338	50077	49657	49471	48614	37786
ERR1551269	6602	2879	2754	2687	2389	2121
ERR1551270	93660	44880	44358	44517	43935	34128
ERR1551271	119889	57244	56204	56585	55216	30341
ERR1551272	105588	50982	50561	50650	50070	38241
ERR1551273	110079	51317	51063	50863	49521	32293
ERR1551274	109986	58504	57666	57527	55665	37059
ERR1551275	94729	47600	47161	47350	46737	29545
ERR1551276	159619	76701	75936	76095	74554	52551
ERR1551277	114642	58582	57744	57917	56823	34457
ERR1551278	136373	63601	62689	62788	60665	40678
ERR1551279	59739	31910	31089	31422	30038	18949
ERR1551280	96454	47470	46726	46726	45316	33515
ERR1551281	137151	72191	70921	71545	69199	39410
ERR1551282	164695	86625	84349	85768	81361	40831
ERR1551283	132010	61419	60666	60625	59192	38769
ERR1551284	90552	48056	47309	47576	46574	29411
ERR1551285	103660	52853	52003	52317	51131	38170
ERR1551286	79596	15927	15314	15541	14011	8424
ERR1551287	104719	56516	55620	55984	54512	30150
ERR1551288	135774	61102	60579	60768	59591	27507
ERR1551289	92016	50342	49771	50045	49077	26945
ERR1551290	108367	49216	48984	48972	48717	38948
ERR1551291	69065	36348	35917	35575	34779	27379
ERR1551292	68816	30432	29763	30003	28487	17322
ERR1551293	126115	66399	65269	65507	63832	35178
ERR1551294	222247	101528	100734	100918	99396	56456
ERR1551295	104876	39948	39270	39503	38153	22377
ERR1551296	60757	29188	28820	28641	28110	20542
ERR1551297	143727	67531	66526	66452	64360	39899
ERR1551298	105630	46335	45557	45633	44062	29230
ERR1551299	116184	58864	58110	58112	56664	34929
ERR1551300	93874	39512	39247	39369	39128	27139
ERR1551301	160275	66946	66019	66237	64541	39652
ERR1551302	104674	47740	46969	47120	45810	27724
ERR1551303	34122	18590	17961	18103	17195	11739
ERR1551304	97290	46608	45436	45437	43459	29749
ERR1551305	170537	83982	82176	82605	79678	50775
ERR1551306	669	46	5	1	0	0
