ASV_ID	SRR23096793	SRR23096794	SRR23096795	SRR23096796	SRR23096797	SRR23096798	SRR23096799	SRR23096800	SRR23096801	SRR23096802	SRR23096803	SRR23096804	SRR23096805	SRR23096806	SRR23096807	SRR23096808	SRR23096809	SRR23096810	SRR23096811	SRR23096812	SRR23096813	SRR23096814	SRR23096815	SRR23096816	SRR23096817	SRR23096818	SRR23096819	SRR23096820	SRR23096821	SRR23096822	SRR23096823	SRR23096824	SRR23096825	SRR23096826	SRR23096827	SRR23096828	SRR23096829	SRR23096830	SRR23096831	SRR23096832	SRR23096833	SRR23096834	SRR23096835	SRR23096836	SRR23096837	SRR23096838	SRR23096839	SRR23096840	SRR23096841	SRR23096842	SRR23096843	SRR23096844	SRR23096845	SRR23096846	SRR23096847	SRR23096848	SRR23096849	SRR23096850	SRR23096851	SRR23096852	SRR23096853	SRR23096854	SRR23096855	SRR23096856	SRR23096857	SRR23096858	SRR23096859	SRR23096860	SRR23096861	SRR23096862	SRR23096863	SRR23096864	SRR23096865	SRR23096866	SRR23096867	SRR23096868	SRR23096869	SRR23096870	SRR23096871	SRR23096872	SRR23096873	SRR23096874	SRR23096875	SRR23096876	SRR23096877	SRR23096878	SRR23096879	SRR23096880	SRR23096881	SRR23096882	SRR23096883	SRR23096884	SRR23096885	SRR23096886	SRR23096887	SRR23096888	SRR23096889	SRR23096890	SRR23096891
ASV_1	249	182	0	0	0	244	29	287	144	117	208	171	329	0	236	259	180	162	179	0	442	232	29	0	166	0	0	70	87	13	0	0	118	0	235	33	131	127	0	0	24	0	0	117	25	30	48	235	152	0	0	0	166	85	60	0	88	65	50	0	0	0	0	0	0	0	101	44	195	124	0	335	22	0	356	34	0	0	0	429	180	511	0	0	0	289	24	290	70	67	35	0	0	0	0	0	0	120	162
ASV_2	248	215	0	0	0	218	0	259	105	114	215	159	269	0	292	278	191	164	183	0	427	239	29	0	192	0	0	78	78	12	0	0	109	0	241	34	133	115	0	0	14	0	0	153	24	19	54	211	176	0	0	0	190	60	67	0	81	52	62	0	0	0	0	0	0	0	105	46	178	126	34	292	34	23	384	25	0	0	0	411	193	518	0	0	0	296	25	239	80	73	49	0	0	0	0	0	0	107	143
ASV_3	250	215	0	0	0	253	0	261	121	124	215	142	278	0	277	320	182	136	177	0	394	184	25	0	187	0	0	93	84	15	0	0	78	0	231	41	151	157	0	0	22	0	0	170	25	20	60	209	172	0	0	0	166	69	85	0	88	61	73	0	0	0	0	0	0	0	122	44	187	126	0	276	32	33	346	33	0	0	0	414	173	483	0	0	0	255	23	215	99	97	46	0	0	0	0	0	0	128	185
ASV_4	290	177	0	0	0	240	35	271	113	101	244	163	269	0	289	282	205	139	164	0	431	222	34	0	159	0	0	66	102	11	0	0	88	0	231	38	144	144	0	0	22	0	0	141	20	32	47	227	134	0	0	0	184	79	80	0	87	63	84	0	0	0	0	0	0	0	118	42	184	144	0	300	24	0	293	14	0	0	0	431	181	484	0	0	0	263	16	284	55	81	33	0	0	0	0	0	0	160	143
ASV_5	127	117	0	0	0	207	40	218	82	108	182	149	234	0	203	154	132	148	146	0	500	314	32	0	208	0	0	52	73	7	0	0	155	0	246	44	113	127	0	0	23	0	0	176	30	16	48	284	126	0	0	0	150	81	64	0	31	23	30	0	0	0	0	0	0	0	50	29	130	100	0	152	20	0	467	24	0	0	0	623	202	647	0	0	0	279	15	237	61	66	43	0	0	0	0	0	0	69	93
ASV_6	207	182	0	0	0	205	50	281	96	88	197	175	239	0	263	230	165	132	130	0	416	223	32	0	188	0	0	48	88	21	0	0	105	0	228	39	113	127	0	0	22	0	0	150	31	34	45	259	152	0	0	0	160	75	80	0	73	63	60	0	0	0	0	0	0	0	91	65	179	112	0	236	32	0	284	18	0	0	0	396	189	464	0	0	0	273	26	242	71	65	35	0	0	0	0	0	0	84	120
ASV_7	206	175	0	0	0	207	0	236	95	115	231	164	259	0	255	268	155	143	150	0	401	166	25	0	176	0	0	81	87	17	0	0	75	0	198	35	131	148	0	0	18	0	0	152	25	33	57	189	122	0	0	0	186	70	103	0	89	39	48	0	0	0	0	0	0	0	81	37	138	100	0	248	41	23	290	25	0	0	0	397	184	544	0	0	0	278	17	252	72	79	42	0	0	0	0	0	0	98	139
ASV_8	133	135	0	0	0	162	0	196	78	107	181	140	222	0	240	189	109	168	164	0	447	282	21	0	196	0	11	63	60	16	0	0	142	0	242	30	96	127	0	0	18	0	0	136	18	18	58	268	140	0	0	0	174	63	66	0	47	15	29	0	0	0	0	0	0	0	69	24	129	87	0	159	23	26	491	21	0	0	0	534	164	704	0	0	8	276	13	221	77	73	42	0	0	0	0	0	0	86	97
ASV_9	241	199	0	0	0	225	0	220	109	126	197	151	235	0	289	309	170	131	156	0	271	136	27	0	142	0	0	64	73	19	0	0	71	0	160	31	110	107	0	0	18	0	0	143	22	24	42	210	122	0	0	0	152	61	56	0	75	53	63	0	0	0	0	0	0	0	127	42	154	136	0	300	25	18	232	22	0	0	0	269	144	369	0	0	0	242	16	213	52	52	33	0	0	0	0	0	0	130	157
ASV_10	319	184	0	0	0	225	48	240	118	96	192	129	246	0	242	285	183	131	171	0	315	174	23	0	112	0	0	57	72	21	0	0	62	0	183	28	107	104	0	0	21	0	0	120	22	34	26	185	112	0	0	0	133	49	65	0	74	49	70	0	0	0	0	0	0	0	119	39	191	105	0	299	19	0	216	33	0	0	0	263	153	315	0	0	0	219	29	203	61	36	31	0	0	0	0	0	0	114	159
