	Var1	Freq
1	166	20
2	170	1
3	186	3
4	227	9
5	240	1
6	271	1
7	272	4
8	295	15
9	296	4
10	298	2
11	334	15
12	339	1
13	344	1
14	347	2
15	349	1
16	362	3
17	370	8
18	409	1
19	411	3
20	416	1
21	421	2
22	424	74
23	427	1
24	434	1
25	437	2
26	438	29
27	439	2697
28	440	29262
29	441	6824
30	442	2175
31	443	3282
32	444	291
33	445	2060
34	446	773
35	447	1907
36	448	171
37	449	1971
38	450	267
39	452	2
40	454	10
41	455	9
42	456	12
43	457	98
44	458	39
45	459	774
46	460	10304
47	461	59
48	462	8
49	463	13
50	464	2182
51	465	5869
52	466	377
53	471	1
54	479	1
55	480	1
