	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR23096793	64475	51525	50498	50888	46390	36868
SRR23096794	64987	52674	51451	51601	47422	36918
SRR23096795	57393	46045	45494	45488	42607	31858
SRR23096796	56266	44942	44338	44404	39402	30118
SRR23096797	49413	40188	39606	39692	36337	27370
SRR23096798	64789	51244	50530	50604	47912	35925
SRR23096799	40165	18745	18195	18183	16631	14054
SRR23096800	62470	50403	49653	49664	46379	36517
SRR23096801	54033	43919	43280	43198	41182	32320
SRR23096802	52175	39730	39001	39193	36393	28266
SRR23096803	60138	48228	47623	47530	44929	35522
SRR23096804	56872	45183	44755	44860	43353	34711
SRR23096805	58181	45517	45059	45078	43816	35096
SRR23096806	64213	52806	51784	51832	49077	36922
SRR23096807	62074	48343	47517	47693	45746	34711
SRR23096808	63931	51210	50274	50593	47857	36283
SRR23096809	62777	49127	48129	47960	43978	34764
SRR23096810	64182	50710	49991	49912	46616	35552
SRR23096811	58955	47588	46926	47088	44422	35147
SRR23096812	62698	51421	50447	50454	47000	36462
SRR23096813	68767	54964	54277	54510	49318	40657
SRR23096814	70312	56236	55513	55470	51213	38954
SRR23096815	70447	57200	55559	55921	50627	32120
SRR23096816	53576	44315	43517	43243	40439	29485
SRR23096817	58471	45736	44976	45218	39625	29938
SRR23096818	62382	51542	50520	50808	46887	33765
SRR23096819	65518	53879	52773	52951	48902	34867
SRR23096820	65605	53081	51404	51607	46992	35953
SRR23096821	66916	55096	53702	53882	49596	35725
SRR23096822	62450	51529	50733	50819	49021	31921
SRR23096823	65109	54416	53202	53313	48806	34461
SRR23096824	65268	54528	53556	53748	49868	33613
SRR23096825	65551	48534	48020	48073	34373	25374
SRR23096826	57154	42488	42064	41987	33550	25724
SRR23096827	65490	51825	50368	50868	46740	31181
SRR23096828	66915	51573	50022	50424	42576	30437
SRR23096829	64892	52634	51441	51552	46513	32995
SRR23096830	64453	52292	51397	51453	46856	32598
SRR23096831	60138	50327	49371	49532	46505	32500
SRR23096832	71679	59823	58000	58108	52563	38851
SRR23096833	57634	47568	46836	46617	44340	28903
SRR23096834	64477	53543	52219	52194	46986	33116
SRR23096835	65497	52963	51902	52117	47470	32790
SRR23096836	51237	39557	38746	38804	36356	28250
SRR23096837	66861	56251	54743	54717	49675	36192
SRR23096838	74059	60400	58854	59033	53642	38084
SRR23096839	70790	59854	59343	59228	57150	44558
SRR23096840	71764	57919	56790	56808	50204	38683
SRR23096841	72624	57342	56153	56146	52240	39045
SRR23096842	61926	50864	49839	50044	46464	29547
SRR23096843	67029	55356	54040	54216	49462	36946
SRR23096844	70244	58061	56148	56479	50716	34232
SRR23096845	70171	56937	55694	55930	50294	36842
SRR23096846	62920	48203	47217	47311	43310	30062
SRR23096847	67153	53065	51326	51800	46343	31190
SRR23096848	57076	47466	46309	46350	43105	32998
SRR23096849	62580	52187	50916	51125	47391	35987
SRR23096850	61929	50855	49282	49786	45570	33164
SRR23096851	62378	50576	49051	49425	45168	33260
SRR23096852	61959	51482	50681	50535	47431	36762
SRR23096853	66889	55836	54747	55117	51601	38672
SRR23096854	64017	53945	52885	52982	49997	38077
SRR23096855	64149	53378	52561	52678	50030	37274
SRR23096856	61145	51190	50122	50331	46986	33089
SRR23096857	59091	49509	48857	48936	47571	34497
SRR23096858	60865	49282	48532	48578	45418	30671
SRR23096859	63162	51283	50456	50476	47418	35282
SRR23096860	67966	56488	55370	55343	51682	36427
SRR23096861	70480	56448	55347	55498	50475	34392
SRR23096862	57843	47519	46587	46632	43629	34641
SRR23096863	67608	56659	55596	55809	53531	42432
SRR23096864	71121	57374	56219	56345	53252	40320
SRR23096865	73870	60533	58875	59217	52982	37436
SRR23096866	71463	58337	56974	56836	52655	37256
SRR23096867	68673	54651	54085	54060	50925	40006
SRR23096868	51273	42726	41969	42069	40360	25640
SRR23096869	59306	49648	48890	48948	47247	33687
SRR23096870	60763	50776	50363	50429	49083	36940
SRR23096871	65747	54536	53723	53730	50490	36234
SRR23096872	69606	54302	53668	53865	50793	39749
SRR23096873	65102	52411	51499	51482	47268	35193
SRR23096874	73332	58880	58161	58322	56312	45646
SRR23096875	64244	52317	51795	51869	46646	32316
SRR23096876	62836	50784	49924	49999	46835	30178
SRR23096877	62622	49503	49098	49063	45994	32484
SRR23096878	62328	51126	50565	50511	48951	38272
SRR23096879	57310	46781	45559	45674	41201	30436
SRR23096880	62483	50145	49039	49198	46377	34577
SRR23096881	68645	57166	56048	56103	50893	35142
SRR23096882	71140	57933	56775	56920	50613	36210
SRR23096883	66707	55454	53671	54008	48341	33910
SRR23096884	63071	51818	50824	50959	47644	31779
SRR23096885	66565	55417	54578	54492	50443	34040
SRR23096886	61239	51158	50209	50317	45719	31649
SRR23096887	59202	49335	48367	48381	43921	31167
SRR23096888	60920	51313	50125	50429	45829	32168
SRR23096889	67575	56173	54933	55090	50524	36504
SRR23096890	58499	46347	45544	45701	41983	31920
SRR23096891	56725	45933	45101	45161	41590	32907
