Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample_identifier,Sample Name,sample_source,SRA Study
SRR31108376,WGS,302,6599500904,PRJNA486782,SAMN44425641,Metagenome or environmental,2884173140,SRA_COSMOSID,2017,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX26491443,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_7_15_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:56:00Z,1,Control_7_15_Month,Control_7_15_Month,Stool,SRP158417
SRR31108377,WGS,302,6980640910,PRJNA486782,SAMN44425640,Metagenome or environmental,2920547240,SRA_COSMOSID,2017,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX26491442,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_7_12_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:55:00Z,1,Control_7_12_Month,Control_7_12_Month,Stool,SRP158417
SRR31108378,WGS,302,5444520024,PRJNA486782,SAMN44425639,Metagenome or environmental,2256801569,SRA_COSMOSID,2016,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX26491441,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_6_Subject_14_4-6_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:52:00Z,1,Control_6_Subject_14_4-6_Month,Control_6_Subject_14_4-6_Month,Stool,SRP158417
SRR31108379,WGS,302,5012785958,PRJNA486782,SAMN44425638,Metagenome or environmental,2180322183,SRA_COSMOSID,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26491440,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_6_24_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:53:00Z,1,Control_6_24_Month,Control_6_24_Month,Stool,SRP158417
SRR31108380,WGS,302,5226126308,PRJNA486782,SAMN44425637,Metagenome or environmental,2170637700,SRA_COSMOSID,2018,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX26491439,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_6_21_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:53:00Z,1,Control_6_21_Month,Control_6_21_Month,Stool,SRP158417
SRR31108381,WGS,302,5875557376,PRJNA486782,SAMN44425636,Metagenome or environmental,2559064172,SRA_COSMOSID,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26491438,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_6_18_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:54:00Z,1,Control_6_18_Month,Control_6_18_Month,Stool,SRP158417
SRR31108382,WGS,302,5563370916,PRJNA486782,SAMN44425635,Metagenome or environmental,2288376928,SRA_COSMOSID,2017,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX26491437,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_6_15_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:53:00Z,1,Control_6_15_Month,Control_6_15_Month,Stool,SRP158417
SRR31108383,WGS,302,5697242684,PRJNA486782,SAMN44425634,Metagenome or environmental,2350507063,SRA_COSMOSID,2017,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26491436,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_6_12_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:53:00Z,1,Control_6_12_Month,Control_6_12_Month,Stool,SRP158417
SRR31108384,WGS,302,6914851116,PRJNA486782,SAMN44425633,Metagenome or environmental,2949291897,SRA_COSMOSID,2017,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX26491435,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_6_9_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:58:00Z,1,Control_6_9_Month,Control_6_9_Month,Stool,SRP158417
SRR31108385,WGS,302,6530396358,PRJNA486782,SAMN44425632,Metagenome or environmental,2749592868,SRA_COSMOSID,2018,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX26491434,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Gut,38.7946 N 106.5348 W,Control_5_48_Month,SINGLE,PCR,METAGENOMIC,metagenome,ILLUMINA,2024-11-01T00:00:00Z,2024-10-24T16:54:00Z,1,Control_5_48_Month,Control_5_48_Month,Stool,SRP158417
