Sample	Percent_Host_Reads_Removed	Total_Pairs_Before_Removal
SRR31108376	0.04	21852155
SRR31108377	0.35	23114042
SRR31108378	0.17	18027713
SRR31108379	0.05	16598139
SRR31108380	0.24	17304431
SRR31108381	0.15	19455248
SRR31108382	0.13	18421333
SRR31108383	0.08	18864463
SRR31108384	0.10	22896226
SRR31108385	0.14	21623334
SRR31108386	0.02	17249435
SRR31108387	0.08	18759637
SRR31108388	0.08	21567341
SRR31108389	0.07	17841150
SRR31108390	0.03	15929032
SRR31108391	0.08	20953395
SRR31108392	0.02	29474025
SRR31108393	0.03	20294708
SRR31108394	0.29	26383868
SRR31108395	0.06	25440995
SRR31108396	0.05	20668374
SRR31108397	0.07	20871051
SRR31108398	0.02	16205291
SRR31108399	0.02	18450455
SRR31108400	0.04	19687565
SRR31108401	0.06	19913703
SRR31108402	0.03	18127799
SRR31108403	0.13	14762566
SRR31108404	0.22	25593519
SRR31108405	0.02	21202120
SRR31108406	0.02	25074690
SRR31108407	0.03	19835368
SRR31108408	0.07	23455026
SRR31108409	18.78	23585154
SRR31108410	0.07	25141392
SRR31108411	0.17	28664546
SRR31108412	0.06	24059949
SRR31108413	0.15	18867229
SRR31108414	0.19	21670538
SRR31108415	0.74	18576360
SRR31108416	1.03	19334753
SRR31108417	0.01	27733048
SRR31108418	0.11	20862133
SRR31108419	0.24	20482563
SRR31108420	0.06	20838020
SRR31108421	0.02	22140609
SRR31108422	0.08	16679667
SRR31108423	0.03	17151168
SRR31108424	0.06	19610492
SRR31108425	0.13	21956614
SRR31108426	0.18	16942807
SRR31108434	0.05	21162044
SRR31108445	0.07	18366086
SRR31108456	0.02	20200098
SRR31108463	0.15	19121938
SRR31108473	0.12	23955000
SRR31108484	1.01	20624073
SRR31108495	0.21	19134033
SRR31108503	1.36	17406282
SRR31108514	0.88	22042455
SRR31108517	0.06	18198917
SRR31108518	0.04	12673611
SRR31108519	0.36	18294802
SRR31108520	0.07	20505579
SRR31108521	0.50	15844915
SRR31108522	0.65	21029402
SRR31108523	0.32	18014451
SRR31108524	18.35	25642984
SRR31108525	0.01	18644275
SRR31108526	0.09	22448422
SRR31108527	0.48	17758991
SRR31108528	0.08	23031654
SRR31108529	0.10	20652061
SRR31108530	11.07	22187571
SRR31108531	0.01	20282176
SRR31108532	0.01	22757858
SRR31108533	0.06	20994403
SRR31108534	0.09	16225187
SRR31108535	0.02	9756372
SRR31108536	0.05	23226908
SRR31108537	0.05	20404213
SRR31108538	0.05	19737482
SRR31108539	0.01	22162045
SRR31108540	0.04	24789184
SRR31108541	0.04	20889378
SRR31108542	0.03	14474290
SRR31108543	0.32	17077118
SRR31108544	0.21	19126642
SRR31108545	0.18	19304287
SRR31108546	0.33	20205883
SRR31108547	0.41	20655180
SRR31108548	0.32	23320095
SRR31108549	0.23	21563759
SRR31108550	0.72	23116847
SRR31108551	0.08	17882700
SRR31108552	0.19	21159056
SRR31108553	0.04	19042963
SRR31108554	0.07	17818274
SRR31108555	0.09	20363828
SRR31108556	0.03	22771940
SRR31108557	0.14	23471859
SRR31108558	0.02	20563958
SRR31108559	0.07	17982181
SRR31108560	1.18	18040942
SRR31108561	0.32	17693613
SRR31108562	0.13	21002763
SRR31108563	0.16	24170099
SRR31108564	0.01	20208475
SRR31108565	5.09	20828385
SRR31108566	0.18	21611379
SRR31108567	0.03	20343361
SRR31108568	0.03	18717562
SRR31108569	0.13	19361085
SRR31108570	0.07	21863603
SRR31108571	0.01	22320362
SRR31108572	0.02	24713008
SRR31108573	0.03	17754749
SRR31108574	0.07	19614446
