Sample_ID	Percent_Unclassified_Reads
SRR31108522	11.84497
SRR31108518	16.03015
SRR31108399	5.9785
SRR31108391	10.58549
SRR31108419	15.59657
SRR31108383	10.04139
SRR31108546	8.71066
SRR31108527	25.07096
SRR31108410	0.66193
SRR31108495	87.805
SRR31108536	13.86714
SRR31108503	4.50964
SRR31108569	16.85182
SRR31108570	9.64568
SRR31108402	0.75449
SRR31108555	16.11926
SRR31108566	7.79463
SRR31108404	0.0
SRR31108376	1.33298
SRR31108393	13.37311
SRR31108400	0.0
SRR31108539	10.49564
SRR31108416	16.55205
SRR31108544	13.63046
SRR31108411	6.56978
SRR31108543	11.97919
SRR31108394	14.43125
SRR31108406	11.93319
SRR31108415	15.29327
SRR31108379	19.24521
SRR31108403	0.0
SRR31108556	4.47227
SRR31108525	4.98286
SRR31108548	8.63671
SRR31108538	16.37753
SRR31108534	11.85184
SRR31108535	11.87704
SRR31108414	17.15411
SRR31108421	10.04739
SRR31108425	16.80152
SRR31108473	6.08861
SRR31108528	38.70041
SRR31108529	14.20414
SRR31108542	8.83471
SRR31108567	12.70107
SRR31108519	17.22593
SRR31108564	0.86854
SRR31108541	11.34466
SRR31108520	21.61057
SRR31108407	3.91446
SRR31108381	19.30305
SRR31108573	11.46373
SRR31108417	1.56125
SRR31108405	3.58798
SRR31108553	12.97605
SRR31108398	6.37052
SRR31108412	9.34347
SRR31108545	11.31719
SRR31108554	21.22514
SRR31108532	6.0106
SRR31108463	14.52392
SRR31108377	18.27571
SRR31108409	4.78239
SRR31108418	16.53193
SRR31108571	8.57967
SRR31108423	38.33711
SRR31108524	8.78065
SRR31108537	17.33581
SRR31108380	19.20457
SRR31108397	8.57649
SRR31108531	8.27082
SRR31108550	23.8711
SRR31108517	17.45571
SRR31108426	12.7533
SRR31108552	17.64227
SRR31108420	7.3
SRR31108547	9.11574
SRR31108390	12.6458
SRR31108540	11.78202
SRR31108387	10.33388
SRR31108557	12.62956
SRR31108533	0.0
SRR31108530	8.46695
SRR31108396	4.02535
SRR31108456	11.80516
SRR31108434	9.16942
SRR31108384	17.4522
SRR31108382	9.67888
SRR31108445	12.6384
SRR31108389	13.72575
SRR31108484	5.46777
SRR31108386	12.07424
SRR31108568	12.20088
SRR31108521	11.10439
SRR31108563	10.77065
SRR31108551	3.72627
SRR31108559	7.16915
SRR31108388	10.13066
SRR31108523	16.40542
SRR31108408	8.6176
SRR31108424	14.08883
SRR31108560	16.9331
SRR31108549	19.36765
SRR31108422	35.39579
SRR31108561	10.22515
SRR31108572	0.0
SRR31108562	6.04768
SRR31108378	15.99917
SRR31108392	0.0
SRR31108526	8.62475
SRR31108558	8.78315
SRR31108395	39.89382
SRR31108385	12.84319
SRR31108565	18.15845
SRR31108574	20.58258
SRR31108514	15.90097
SRR31108413	10.34917
SRR31108401	2.67742
