Sample	Percent_Host_Reads_Removed	Total_Pairs_Before_Removal
SRR22402349	0.01	36348399
SRR22402350	0.02	49870901
SRR22402351	0.07	44772455
SRR22402352	0.03	49858652
SRR22402353	0.08	40698250
SRR22402354	0.04	36055168
SRR22402355	0.46	30103672
SRR22402356	0.06	25875900
SRR22402357	0.02	29948814
SRR22402358	0.02	23940853
SRR22402359	0.89	34021191
SRR22402360	1.65	37205163
SRR22402361	0.01	43682421
SRR22402362	0.43	25398394
SRR22402363	0.00	27616571
SRR22402364	0.04	48507299
SRR22402365	0.02	39870131
SRR22402366	0.05	49173709
SRR22402367	0.06	32475272
SRR22402368	0.01	75271316
SRR22402369	0.16	41602021
SRR22402370	0.05	34285703
SRR22402371	0.17	7011755
SRR22402372	0.02	47908278
SRR22402373	0.39	48299061
SRR22402374	0.03	55299937
SRR22402375	0.01	26996146
SRR22402376	0.02	39681920
SRR22402377	0.33	50311101
SRR22402378	5.74	60051703
SRR22402379	0.07	45579758
SRR22402380	0.43	35515555
SRR22402381	0.30	33567513
SRR22402382	0.28	35474751
SRR22402383	0.01	25862955
SRR22402384	0.03	32005278
SRR22402385	1.67	80791270
