Sample_ID	Percent_Unclassified_Reads
SRR22402372	12.90485
SRR22402256	8.86362
SRR22402315	11.6123
SRR22402343	13.16283
SRR22402263	7.96649
SRR22402337	2.80591
SRR22402282	13.15496
SRR22402285	14.32116
SRR22402265	10.00999
SRR22402321	10.7094
SRR22402288	9.49125
SRR22402294	15.56797
SRR22402267	12.39882
SRR22402259	10.93613
SRR22402384	11.7735
SRR22402310	13.95369
SRR22402329	11.28823
SRR22402268	11.61868
SRR22402273	8.01261
SRR22402284	6.72496
SRR22402319	8.68988
SRR22402277	8.11306
SRR22402281	11.22544
SRR22402290	11.74214
SRR22402382	14.35701
SRR22402292	12.37378
SRR22402274	8.87844
SRR22402350	14.94133
SRR22402266	16.12162
SRR22402257	14.02463
SRR22402348	7.46723
SRR22402330	9.38265
SRR22402359	13.3663
SRR22402381	10.07431
SRR22402369	13.76229
SRR22402303	11.85601
SRR22402271	11.81225
SRR22402320	12.16365
SRR22402380	10.27347
SRR22402355	5.23627
SRR22402304	11.75769
SRR22402255	9.91519
SRR22402305	16.35525
SRR22402311	7.54322
SRR22402338	10.0491
SRR22402347	9.874
SRR22402307	10.26821
SRR22402341	10.44651
SRR22402326	10.87598
SRR22402334	11.11159
SRR22402322	11.65358
SRR22402385	18.98871
SRR22402379	8.44344
SRR22402357	9.43142
SRR22402362	10.99356
SRR22402335	13.12836
SRR22402299	11.5657
SRR22402258	11.10225
SRR22402300	13.8877
SRR22402323	14.18841
SRR22402317	10.14743
SRR22402314	10.21845
SRR22402356	12.54138
SRR22402344	11.92965
SRR22402264	14.12696
SRR22402260	6.35604
SRR22402313	13.5249
SRR22402360	12.28761
SRR22402352	7.7366
SRR22402336	6.14882
SRR22402309	12.67301
SRR22402375	14.38707
SRR22402306	13.74859
SRR22402293	13.60831
SRR22402324	12.45999
SRR22402272	14.19664
SRR22402377	6.02804
SRR22402262	9.10175
SRR22402328	6.91546
SRR22402358	12.77992
SRR22402376	12.33408
SRR22402327	10.60161
SRR22402371	8.64375
SRR22402296	8.88618
SRR22402345	11.0794
SRR22402261	12.98206
SRR22402279	9.2474
SRR22402291	10.07955
SRR22402366	13.79266
SRR22402368	10.02559
SRR22402276	8.7453
SRR22402361	12.55501
SRR22402346	9.91077
SRR22402254	11.48807
SRR22402312	14.8019
SRR22402383	8.22924
SRR22402332	11.18359
SRR22402378	13.57541
SRR22402325	12.28441
SRR22402364	9.99075
SRR22402278	10.36146
SRR22402316	9.63336
SRR22402351	7.65312
SRR22402302	10.70887
SRR22402318	11.90484
SRR22402353	9.86876
SRR22402365	11.33781
SRR22402297	10.02191
SRR22402283	17.19594
SRR22402363	14.25305
SRR22402340	9.55629
SRR22402349	5.38575
SRR22402373	6.32878
SRR22402289	13.04787
SRR22402333	12.83501
SRR22402275	14.32948
SRR22402339	6.73598
SRR22402354	15.65076
SRR22402269	13.01742
SRR22402280	13.77408
SRR22402331	10.01696
SRR22402298	13.96157
SRR22402367	12.12744
SRR22402270	10.09204
SRR22402308	7.32455
SRR22402287	9.41072
SRR22402295	11.58089
SRR22402370	15.9581
SRR22402342	14.36745
SRR22402286	18.11067
SRR22402374	8.93944
SRR22402301	14.38305
