Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),host_scientific_name,INSDC_center_name,INSDC_last_update,INSDC_status,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_name,scientific_name,SRA Study,Submitter_Id
ERR12025077,AMPLICON,298,5352854796,PRJEB65879,SAMEA114331695,1685158793,IMDEA FOOD INSTITUTE,2017,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-03-07,2024-03-07,2024-03-07,ERX11408575,SAMEA114331695,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-08-11T20:34:00Z,1,SAMEA114331695,1800,human gut metagenome,ERP150971,1800
ERR12025080,AMPLICON,298,11055579365,PRJEB65879,SAMEA114331698,3479482160,IMDEA FOOD INSTITUTE,2017,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-03-07,2024-03-07,2024-03-07,ERX11408578,SAMEA114331698,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-08-22T14:22:00Z,1,SAMEA114331698,1803,human gut metagenome,ERP150971,1803
ERR12025083,AMPLICON,298,6787669503,PRJEB65879,SAMEA114331701,2159589621,IMDEA FOOD INSTITUTE,2017,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2024-03-07,2024-03-07,2024-03-07,ERX11408581,SAMEA114331701,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-07-26T11:01:00Z,1,SAMEA114331701,1808,human gut metagenome,ERP150971,1808
ERR12025088,AMPLICON,298,4809552653,PRJEB65879,SAMEA114331706,1520447130,IMDEA FOOD INSTITUTE,2017,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-03-07,2024-03-07,2024-03-07,ERX11408586,SAMEA114331706,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-07-25T10:48:00Z,1,SAMEA114331706,1814,human gut metagenome,ERP150971,1814
ERR12025090,AMPLICON,298,5853194823,PRJEB65879,SAMEA114331708,1851707717,IMDEA FOOD INSTITUTE,2017,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2024-03-07,2024-03-07,2024-03-07,ERX11408588,SAMEA114331708,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-07-25T10:53:00Z,1,SAMEA114331708,1816,human gut metagenome,ERP150971,1816
ERR12025094,AMPLICON,298,4515727408,PRJEB65879,SAMEA114331712,1417619264,IMDEA FOOD INSTITUTE,2017,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2024-03-07,2024-03-07,2024-03-07,ERX11408592,SAMEA114331712,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-08-11T19:13:00Z,1,SAMEA114331712,1824,human gut metagenome,ERP150971,1824
ERR12025102,AMPLICON,298,6209851274,PRJEB65879,SAMEA114331720,1952847097,IMDEA FOOD INSTITUTE,2017,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2024-03-07,2024-03-07,2024-03-07,ERX11408600,SAMEA114331720,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-07-25T10:51:00Z,1,SAMEA114331720,1837,human gut metagenome,ERP150971,1837
ERR12025105,AMPLICON,298,5349548215,PRJEB65879,SAMEA114331723,1684734510,IMDEA FOOD INSTITUTE,2017,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-03-07,2024-03-07,2024-03-07,ERX11408603,SAMEA114331723,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-07-25T10:48:00Z,1,SAMEA114331723,1841,human gut metagenome,ERP150971,1841
ERR12025084,AMPLICON,298,5949691457,PRJEB65879,SAMEA114331702,1881933474,IMDEA FOOD INSTITUTE,2017,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-03-07,2024-03-07,2024-03-07,ERX11408582,SAMEA114331702,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-07-25T01:49:00Z,1,SAMEA114331702,1809,human gut metagenome,ERP150971,1809
ERR12025093,AMPLICON,298,5782853092,PRJEB65879,SAMEA114331711,1829186291,IMDEA FOOD INSTITUTE,2017,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-03-07,2024-03-07,2024-03-07,ERX11408591,SAMEA114331711,Spain,Europe,Spain,Homo sapiens,IMDEA Food Institute,2023-09-05T15:15:18Z,public,Illumina NovaSeq 6000,Intestinal fecal,MetaDNA library,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-18T00:00:00Z,2024-08-23T01:51:00Z,1,SAMEA114331711,1823,human gut metagenome,ERP150971,1823
