Sample	Percent_Host_Reads_Removed	Total_Pairs_Before_Removal
ERR12025073	0.01	22441140
ERR12025074	0.00	20013867
ERR12025075	0.01	10554775
ERR12025076	0.00	9645166
ERR12025077	0.00	17911083
ERR12025078	0.01	18808473
ERR12025079	0.00	14754816
ERR12025080	0.00	36975733
ERR12025081	0.00	26959446
ERR12025082	0.00	17497208
ERR12025083	0.01	22710024
ERR12025084	0.00	19902501
ERR12025085	0.09	15902006
ERR12025086	0.00	16950679
ERR12025087	0.01	17832000
ERR12025088	0.00	16089971
ERR12025089	0.01	19634824
ERR12025090	0.06	19603947
ERR12025091	0.00	21863372
ERR12025092	0.03	16338020
ERR12025093	0.01	19368135
ERR12025094	0.00	15111733
ERR12025095	0.00	22796904
ERR12025096	0.00	17029729
ERR12025097	0.00	17219668
ERR12025098	0.00	24456632
ERR12025099	0.03	18123608
ERR12025100	0.01	21832141
ERR12025101	0.05	19086688
ERR12025102	0.00	20812437
ERR12025103	0.00	20079860
ERR12025104	0.00	22012735
ERR12025105	0.00	17895934
ERR12025106	0.00	17554328
ERR12025107	0.00	16349172
ERR12025108	0.00	15774819
ERR12025109	0.01	16399302
ERR12025110	0.08	21107672
ERR12025111	0.00	17122709
