Sample_ID	Percent_Unclassified_Reads
ERR12025094	14.39038
ERR12025093	11.67289
ERR12025078	7.52088
ERR12025082	12.83632
ERR12025110	5.26683
ERR12025101	15.48753
ERR12025095	8.70513
ERR12025090	14.06591
ERR12025091	7.03584
ERR12025079	12.51363
ERR12025097	8.75086
ERR12025085	4.86574
ERR12025109	4.6063
ERR12025080	10.33262
ERR12025107	6.76887
ERR12025103	13.66062
ERR12025099	8.48128
ERR12025108	9.92383
ERR12025089	16.84602
ERR12025074	7.74112
ERR12025096	11.11564
ERR12025075	8.68181
ERR12025084	6.00882
ERR12025086	3.62029
ERR12025077	13.12837
ERR12025100	19.3258
ERR12025083	12.86889
ERR12025111	8.8422
ERR12025092	31.37446
ERR12025098	11.62472
ERR12025081	20.2493
ERR12025106	8.17796
ERR12025102	32.30653
ERR12025073	5.60048
ERR12025076	11.70452
ERR12025105	5.76693
ERR12025088	14.73384
ERR12025087	12.94186
ERR12025104	10.39997
