#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	SRR15595244	SRR15595245	SRR22402254	SRR22402255
k__Bacteria	100.0	100.0	99.69797	100.0
k__Bacteria|p__Firmicutes	72.38341	39.81932	57.31933	40.39029
k__Bacteria|p__Bacteroidota	16.11537	39.99592	32.32767	47.48441
k__Bacteria|p__Actinobacteria	10.55436	18.47978	5.12514	1.95749
k__Bacteria|p__Verrucomicrobia	0.58221	0.89535	1.37255	4.41769
k__Bacteria|p__Proteobacteria	0.32978	0.77238	1.6648	5.60024
k__Bacteria|p__Candidatus_Melainabacteria	0.02267	0.0	0.0	0.02878
k__Bacteria|p__Bacteria_unclassified	0.01221	0.0	0.0	0.03855
k__Bacteria|p__Firmicutes|c__Clostridia	67.22104	30.8893	27.00506	25.14397
k__Bacteria|p__Bacteroidota|c__Bacteroidia	16.11537	39.76314	31.10809	47.48441
k__Bacteria|p__Actinobacteria|c__Actinomycetia	9.73481	15.57956	3.5677	1.65951
k__Bacteria|p__Firmicutes|c__Negativicutes	2.58863	0.63348	2.42415	2.40618
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.81955	2.90022	1.43848	0.28655
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.58221	0.89535	1.37255	0.32659
k__Bacteria|p__Firmicutes|c__CFGB1765	0.46732	0.0	3.72364	0.11464
k__Bacteria|p__Firmicutes|c__Bacilli	0.42214	0.21616	0.0166	0.226
k__Bacteria|p__Firmicutes|c__CFGB2890	0.35864	0.0	0.21513	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354	0.27589	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.20041	0.61674	0.16297	0.01768
k__Bacteria|p__Firmicutes|c__CFGB2982	0.18164	0.0	1.53543	0.95916
k__Bacteria|p__Firmicutes|c__CFGB75721	0.15585	0.70113	0.02684	0.02209
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.12967	1.24281	0.03325	0.06345
k__Bacteria|p__Firmicutes|c__CFGB3057	0.12541	1.19411	0.00301	0.0
k__Bacteria|p__Firmicutes|c__CFGB3069	0.09414	0.0	0.24478	0.0
k__Bacteria|p__Proteobacteria|c__CFGB2404	0.07737	0.01254	0.0	3.59889
k__Bacteria|p__Firmicutes|c__CFGB1262	0.06732	0.0	0.02709	0.0
k__Bacteria|p__Firmicutes|c__CFGB1217	0.05532	0.03561	0.0346	0.0248
k__Bacteria|p__Firmicutes|c__CFGB1227	0.05252	0.30931	0.01509	0.02881
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0396	0.07055	0.8184	0.49453
k__Bacteria|p__Firmicutes|c__CFGB3038	0.03793	0.35649	0.11732	0.07247
k__Bacteria|p__Firmicutes|c__CFGB1538	0.03398	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	0.02267	0.0	0.0	0.02878
k__Bacteria|p__Firmicutes|c__CFGB1011	0.02163	0.08966	0.01444	0.0
k__Bacteria|p__Firmicutes|c__CFGB1292	0.01569	0.06168	0.08136	0.0
k__Bacteria|p__Firmicutes|c__CFGB82363	0.01416	0.0	0.02245	0.0
k__Bacteria|p__Firmicutes|c__CFGB1374	0.01397	0.0	0.01024	0.0001
k__Bacteria|p__Firmicutes|c__CFGB4806	0.01323	0.02024	3.2086	0.0
k__Bacteria|p__Firmicutes|c__CFGB3072	0.01302	0.0	0.28907	0.04103
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01239	0.04721	0.68344	0.24845
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.01221	0.0	0.0	0.03855
k__Bacteria|p__Firmicutes|c__CFGB3023	0.01092	0.0	0.04405	0.04511
k__Bacteria|p__Firmicutes|c__CFGB3054	0.00354	0.0	0.68075	1.41626
k__Bacteria|p__Firmicutes|c__CFGB2959	0.00352	0.0	0.01408	0.0
k__Bacteria|p__Firmicutes|c__CFGB1126	0.00292	0.0161	0.00606	0.00223
k__Bacteria|p__Firmicutes|c__CFGB45628	0.00183	0.0	0.00331	0.0
k__Bacteria|p__Firmicutes|c__CFGB1380	0.00152	0.0	0.03986	0.20292
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	67.21709	30.88162	26.93228	24.99671
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	16.11537	39.76314	31.10809	47.48441
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	9.70056	15.22749	3.5677	1.65631
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2.48171	0.03255	1.2966	2.40618
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.81955	1.24127	0.29602	0.19986
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.58221	0.89535	1.37255	0.32659
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	0.46732	0.0	3.72364	0.11464
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.42214	0.21616	0.0166	0.226
k__Bacteria|p__Firmicutes|c__CFGB2890|o__OFGB2890	0.35864	0.0	0.21513	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	0.27589	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.20041	0.61642	0.16297	0.00644
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	0.18164	0.0	1.53543	0.95916
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	0.15585	0.70113	0.02684	0.02209
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.12967	1.24281	0.03325	0.06345
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	0.12541	1.19411	0.00301	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.10692	0.60093	1.12756	0.0
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	0.09414	0.0	0.24478	0.0
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	0.07737	0.01254	0.0	3.59889
k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262	0.06732	0.0	0.02709	0.0
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217	0.05532	0.03561	0.0346	0.0248
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	0.05252	0.30931	0.01509	0.02881
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0396	0.07055	0.8184	0.49453
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	0.03793	0.35649	0.11732	0.07247
k__Bacteria|p__Firmicutes|c__CFGB1538|o__OFGB1538	0.03398	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	0.03251	0.10894	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	0.02267	0.0	0.0	0.02878
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	0.02163	0.08966	0.01444	0.0
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	0.01569	0.06168	0.08136	0.0
k__Bacteria|p__Firmicutes|c__CFGB82363|o__OFGB82363	0.01416	0.0	0.02245	0.0
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374	0.01397	0.0	0.01024	0.0001
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	0.01323	0.02024	3.2086	0.0
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	0.01302	0.0	0.28907	0.04103
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01239	0.04721	0.68344	0.24845
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	0.01221	0.0	0.0	0.03855
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	0.01092	0.0	0.04405	0.04511
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.00395	0.00768	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	0.00354	0.0	0.68075	1.41626
k__Bacteria|p__Firmicutes|c__CFGB2959|o__OFGB2959	0.00352	0.0	0.01408	0.0
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	0.00292	0.0161	0.00606	0.00223
k__Bacteria|p__Firmicutes|c__CFGB45628|o__OFGB45628	0.00183	0.0	0.00331	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	0.00173	0.24313	0.0	0.0032
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380	0.00152	0.0	0.03986	0.20292
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	27.11324	7.95538	16.49978	13.69199
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	24.28647	16.36306	6.06639	8.94139
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis	11.71116	0.37265	1.76347	0.75391
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	10.24315	6.37211	9.10753	29.62956
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	9.70056	15.22749	3.5677	1.65631
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	4.33997	29.82779	20.40197	13.04505
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2.48171	0.03255	1.2966	2.40618
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2.47438	2.97229	1.14301	0.7573
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	0.83445	0.57659	0.14476	0.3956
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.81955	1.24127	0.29602	0.19986
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.80137	0.47525	0.75662	2.32638
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.65982	1.69748	0.25076	1.83477
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.58221	0.89535	1.37255	0.32659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	0.49378	1.34464	1.2277	0.41569
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	0.46732	0.0	3.72364	0.11464
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.42214	0.21616	0.00218	0.226
k__Bacteria|p__Firmicutes|c__CFGB2890|o__OFGB2890|f__FGB2890	0.35864	0.0	0.21513	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354	0.27589	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.23707	0.65465	0.00568	0.01912
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.20041	0.61642	0.16297	0.00644
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	0.18164	0.0	1.53543	0.95916
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721	0.15585	0.70113	0.02684	0.02209
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057|f__FGB3057	0.12541	1.19411	0.00301	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.10692	0.60093	1.12756	0.0
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069	0.09414	0.0	0.24478	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.08242	1.18437	0.03081	0.06345
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404	0.07737	0.01254	0.0	3.59889
k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262|f__FGB1262	0.06732	0.0	0.02709	0.0
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217|f__FGB1217	0.05532	0.03561	0.0346	0.0248
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	0.05252	0.30931	0.01509	0.02881
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	0.04725	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.0413	0.52922	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	0.03965	0.46277	0.03961	0.00769
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.0396	0.06966	0.67383	0.42922
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038	0.03793	0.35649	0.11732	0.07247
