Sample	Percent_Host_Reads_Removed	Total_Pairs
SRR15595244	0.02	8058909
SRR15595245	0.06	16169813
SRR15595246	0.02	18319955
SRR15595247	91.39	8685788
SRR15595248	0.14	8808895
SRR15595249	0.01	9649238
SRR15595250	0.10	21813916
SRR15595251	91.87	8296875
SRR15595252	0.41	7408258
SRR15595253	0.03	26021234
SRR15595254	0.02	6884561
SRR15595255	0.01	21290598
SRR15595256	92.61	23843018
SRR15595257	0.01	17389271
SRR15595259	0.60	8393986
SRR15595261	0.40	4907993
SRR15595263	92.34	12474921
SRR15595265	0.03	5257991
SRR15595267	0.20	5430672
SRR15595269	0.11	12196738
SRR15595271	0.01	16372023
SRR15595273	0.51	8050982
SRR15595275	0.33	10556966
SRR15595277	0.01	12764047
SRR15595279	0.05	23842368
SRR15595281	0.37	20641817
SRR15595283	0.08	12886191
SRR15595285	0.04	13320150
SRR15595287	90.55	5873800
SRR15595289	0.39	9314996
SRR15595291	96.65	7613660
SRR15595293	0.43	8072835
SRR15595295	0.02	22231263
SRR15595297	0.02	7977875
SRR15595299	91.46	9857365
SRR15595301	0.01	13711048
SRR15595303	0.00	13336233
SRR15595305	0.02	7493888
SRR15595307	0.07	13659920
SRR15595309	6.85	5120570
SRR15595311	0.49	6353223
SRR15595313	0.01	13575866
SRR15595315	0.39	5253865
SRR15595317	91.55	6705740
SRR15595318	89.08	15493818
SRR15595319	0.03	5934855
SRR15595320	89.10	13601642
SRR15595321	89.82	27914831
SRR15595322	94.48	6925683
SRR15595323	90.21	8572932
SRR15595324	93.40	24724319
SRR15595325	80.69	59959
SRR15595326	90.92	7086993
SRR15595327	93.15	6767390
SRR15595328	92.45	5847155
SRR15595329	89.12	5662626
SRR15595330	0.02	8057579
SRR15595331	92.04	14762978
SRR15595332	91.18	15356791
SRR15595333	92.44	16398991
SRR15595334	93.38	17372431
SRR15595335	93.10	17320735
SRR15595336	93.34	21006299
SRR15595337	88.66	9196780
SRR15595338	94.67	8975460
SRR15595339	94.75	15347591
SRR15595340	88.89	12660359
SRR15595341	0.05	6470619
SRR15595342	90.77	9002365
SRR15595343	90.71	18437111
SRR15595344	88.24	5946763
SRR15595345	94.45	10172992
SRR15595346	90.94	9454779
SRR15595347	91.13	7138862
SRR15595348	93.01	6463103
SRR15595349	91.25	10167081
SRR15595350	0.02	10496372
SRR15595351	87.74	11765005
SRR15595352	92.64	7579675
SRR15595353	91.90	7821480
