Sample_ID	Percent_Unclassified_Reads
SRR15595322	100.0
SRR15595295	14.83325
SRR15595291	93.14497
SRR15595249	10.22545
SRR15595333	100.0
SRR15595345	100.0
SRR15595289	21.75297
SRR15595353	100.0
SRR15595254	7.94295
SRR15595332	99.70578
SRR15595340	100.0
SRR15595309	7.00689
SRR15595324	100.0
SRR15595349	100.0
SRR15595277	9.72101
SRR15595303	4.0593
SRR15595275	7.79884
SRR15595246	9.27951
SRR15595305	7.22281
SRR15595250	6.6492
SRR15595301	10.61332
SRR15595325	100.0
SRR15595329	100.0
SRR15595251	100.0
SRR15595315	5.04081
SRR15595311	17.75782
SRR15595287	100.0
SRR15595337	100.0
SRR15595247	100.0
SRR15595283	9.7047
SRR15595293	18.29096
SRR15595245	0.0
SRR15595339	100.0
SRR15595327	100.0
SRR15595346	100.0
SRR15595252	0.0
SRR15595256	100.0
SRR15595347	100.0
SRR15595279	16.24581
SRR15595352	100.0
SRR15595341	10.00956
SRR15595331	100.0
SRR15595318	100.0
SRR15595338	100.0
SRR15595253	11.73877
SRR15595257	10.15882
SRR15595321	100.0
SRR15595273	14.56025
SRR15595348	99.20727
SRR15595342	99.54295
SRR15595343	100.0
SRR15595259	17.58334
SRR15595326	100.0
SRR15595281	1.91337
SRR15595328	100.0
SRR15595299	100.0
SRR15595351	100.0
SRR15595307	9.41408
SRR15595334	100.0
SRR15595320	100.0
SRR15595330	2.03067
SRR15595323	99.31778
SRR15595317	100.0
SRR15595350	6.03853
SRR15595285	10.83519
SRR15595248	12.28298
SRR15595297	3.09272
SRR15595269	4.89661
SRR15595319	15.66654
SRR15595265	9.18318
SRR15595335	100.0
SRR15595336	100.0
SRR15595261	0.83899
SRR15595244	8.25759
SRR15595267	13.48377
SRR15595255	5.09696
SRR15595271	5.86157
SRR15595344	100.0
SRR15595263	100.0
SRR15595313	7.46282
