#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/haig/miniconda3/envs/metagenomics/bin/metaphlan /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/host_removed_fastqs/SRR15595283_1.fq.gz,/mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/host_removed_fastqs/SRR15595283_2.fq.gz --input_type fastq --nproc 26 -o /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/metaphlan_outputs/SRR15595283_profile.txt --bowtie2db /home/haig/miniconda3/envs/metagenomics/lib/python3.9/site-packages/metaphlan/metaphlan_databases --index mpa_vJun23_CHOCOPhlAnSGB_202403 --bowtie2out /mnt/b/CMR_v1/SG_datasets/SG_80_Mouzan/metaphlan_outputs/SRR15595283_bowtie2.sam
#25198501 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.82295	
k__Archaea	2157	0.17705	
k__Bacteria|p__Firmicutes	2|1239	80.0996	
k__Bacteria|p__Actinobacteria	2|201174	9.54834	
k__Bacteria|p__Bacteroidota	2|976	8.72276	
k__Bacteria|p__Proteobacteria	2|1224	1.34772	
k__Archaea|p__Euryarchaeota	2157|28890	0.17705	
k__Bacteria|p__Verrucomicrobia	2|74201	0.10353	
k__Bacteria|p__Synergistetes	2|508458	0.001	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	67.56706	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	8.37118	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.41489	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.90099	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.57785	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.64141	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.3982	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.25887	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.74908	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.49351	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.49204	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.40709	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.27045	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.22003	
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.18359	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.17935	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.17705	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.16799	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.15175	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.15074	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.14689	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.12223	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.10353	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07953	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.07488	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.07161	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.06719	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.05626	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.05001	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.04855	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.04819	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.0452	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.03989	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.0328	
k__Bacteria|p__Firmicutes|c__CFGB2957	2|1239|	0.02601	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.02358	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.02296	
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.0223	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.0189	
