Sample	Percent_Host_Reads_Removed	Total_Pairs_Before_Removal
SRR26276055	0	27822486
SRR26276056	0.01	31777896
SRR26276057	0	62958093
SRR26276058	0.01	33805036
SRR26276059	0	40053753
SRR26276060	0	53202039
SRR26276061	0.02	857121
SRR26276062	0.02	3903105
SRR26276063	0.01	29677449
SRR26276064	0.01	26891698
SRR26276065	0	56342755
SRR26276066	0	59700703
SRR26276067	0	28468542
SRR26276068	0	75756709
SRR26276069	0	50595651
SRR26276070	0.01	34135806
SRR26276071	0.01	3504415
SRR26276072	0	56431962
SRR26276073	0.01	25279056
SRR26276074	0.02	5162349
SRR26276075	0	34480604
SRR26276076	0.02	4210982
SRR26276077	0	70417283
SRR26276078	0	67437824
SRR26276079	0.01	4636818
SRR26276080	0.02	3159789
SRR26276081	0	57546009
SRR26276082	0	49970736
SRR26276083	0.01	25753099
SRR26276084	0	17162698
SRR26276085	0	22666373
SRR26276086	0	62901508
SRR26276087	0.01	10046486
SRR26276088	0	27484926
SRR26276089	0	38718224
SRR26276090	0.01	20197058
SRR26276091	0.01	9141229
SRR26276092	0	27594167
SRR26276093	0	57597803
SRR26276094	0.01	30272484
SRR26276095	0.01	69940877
SRR26276096	0	34622165
SRR26276097	0	46101196
SRR26276098	0.01	30088186
SRR26276099	0	38425794
SRR26276100	0.01	15056524
SRR26276101	0.01	18855062
SRR26276102	0	72336322
SRR26276103	0.03	3849599
SRR26276104	0	34972812
SRR26276105	0	49517559
SRR26276106	0.01	19372031
SRR26276107	0.01	20586600
SRR26276108	0	82538878
SRR26276109	0	30122887
SRR26276110	0.05	8681774
SRR26276111	0	19725486
SRR26276112	0	28023124
SRR26276113	0.01	10700976
SRR26276114	0	1085991
SRR26276115	0	51548058
SRR26276116	0	6046178
SRR26276117	0.01	15825915
SRR26276118	0.01	3078831
SRR26276119	0	29505409
SRR26276120	0	32607408
SRR26276121	0	30736841
SRR26276122	0	64175980
SRR26276123	0.01	20493911
SRR26276124	0.01	16371878
SRR26276125	0.01	25623390
SRR26276126	0.01	21073858
SRR26276127	0	38092182
SRR26276128	0	31285959
SRR26276129	0	35571312
SRR26276130	0	37967333
SRR26276131	0.01	25802971
SRR26276132	0	31253226
SRR26276133	0.01	31501485
SRR26276134	0	60643443
SRR26276135	0	31315917
SRR26276136	0	58030422
SRR26276137	0	58792418
SRR26276138	0	61931138
SRR26276139	0.01	33343143
SRR26276140	0.01	27242085
SRR26276141	0	39399864
SRR26276142	0	81372745
SRR26276143	0	32907671
SRR26276144	0.01	23020794
SRR26276145	0	29843714
SRR26276146	0.01	25945676
SRR26276147	0	45870286
SRR26276148	0.01	19391575
SRR26276149	0	45685635
