Sample_ID	Percent_Unclassified_Reads
SRR26276068	15.89952
SRR26276128	32.25291
SRR26276123	24.88845
SRR26276056	27.77771
SRR26276133	29.06571
SRR26276137	12.07695
SRR26276127	29.68325
SRR26276073	19.8188
SRR26276064	34.82213
SRR26276122	11.31027
SRR26276074	18.52089
SRR26276099	7.17247
SRR26276111	32.00462
SRR26276079	29.3867
SRR26276092	25.69224
SRR26276081	10.15795
SRR26276144	13.19797
SRR26276140	33.80122
SRR26276113	28.39036
SRR26276100	29.75523
SRR26276147	3.2979
SRR26276135	30.76764
SRR26276067	38.92209
SRR26276090	19.73128
SRR26276098	22.21847
SRR26276121	17.23819
SRR26276063	34.87451
SRR26276119	35.73273
SRR26276088	35.46363
SRR26276141	7.3167
SRR26276102	8.73114
SRR26276146	18.64382
SRR26276096	26.51101
SRR26276120	30.21578
SRR26276085	29.58628
SRR26276108	11.75356
SRR26276086	0.0
SRR26276087	21.15809
SRR26276130	27.50321
SRR26276057	29.79631
SRR26276129	28.32131
SRR26276059	26.75702
SRR26276112	25.7326
SRR26276077	15.21808
SRR26276082	10.67508
SRR26276101	26.66223
SRR26276075	27.45934
SRR26276091	32.44406
SRR26276076	24.02052
SRR26276118	16.95136
SRR26276104	27.83448
SRR26276139	39.37082
SRR26276069	10.19768
SRR26276060	12.22988
SRR26276105	6.6057
SRR26276072	15.69826
SRR26276132	29.89447
SRR26276149	6.15531
SRR26276103	18.76985
SRR26276062	9.76617
SRR26276058	24.1633
SRR26276124	37.91083
SRR26276061	0.0
SRR26276080	32.77476
SRR26276055	45.26636
SRR26276095	13.81518
SRR26276126	39.42057
SRR26276115	5.20935
SRR26276071	21.02205
SRR26276066	6.44217
SRR26276078	6.53759
SRR26276094	20.94962
SRR26276136	7.22407
SRR26276070	41.69473
SRR26276125	31.48811
SRR26276117	25.99697
SRR26276089	37.68499
SRR26276065	5.47004
SRR26276131	32.97965
SRR26276097	8.09361
SRR26276143	24.90168
SRR26276093	4.30266
SRR26276148	34.30563
SRR26276114	0.0
SRR26276083	39.22321
SRR26276107	29.17363
SRR26276106	24.19478
SRR26276109	30.31261
SRR26276084	27.66174
SRR26276145	11.78307
SRR26276142	13.72464
SRR26276110	41.52567
SRR26276138	13.38932
SRR26276134	2.3347
SRR26276116	14.60721
