Publication_Title	Publication_Link	Month_Of_Publication	DOI	Record_Link	Project_ID	Lit_Search_Source	Data_Availability	Reason_For_Exclusion	Sequencing_Type
Effects of a low FODMAP diet on gut microbiota in individuals with treated coeliac disease having persistent gastrointestinal symptoms   a randomised controlled trial	https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/effects-of-a-low-fodmap-diet-on-gut-microbiota-in-individuals-with-treated-coeliac-disease-having-persistent-gastrointestinal-symptoms-a-randomised-controlled-trial/BC777B9C41E45392E54CB8148BB6E3E9	Jun-23	10.1017/S0007114523001253	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Duodenal inflammation in common variable immunodeficiency has altered transcriptional response to viruses	https://www.jacionline.org/article/S0091-6749(22)01335-5/fulltext	Oct-22	10.1016/j.jaci.2022.09.029	NA	NA	Scopus	unavailable	privacy controls (confirmed via email)	16S
Adherence to Gluten-Free Diet Restores Alpha Diversity in Celiac People but the Microbiome Composition Is Different to Healthy People	https://www.mdpi.com/2072-6643/14/12/2452	Jun-22	10.3390/nu14122452	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
A Novel Sprouted Oat Fermented Beverage: Evaluation of Safety and Health Benefits for Celiac Individuals	https://www.mdpi.com/2072-6643/13/8/2522	Jul-21	10.3390/nu13082522	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
"Relationship between duodenal microbiota composition, clinical features at diagnosis, and persistent symptoms in adult Coeliac disease"	https://www.dldjournalonline.com/article/S1590-8658(21)00088-8/abstract	Mar-21	10.1016/j.dld.2021.02.019	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Distinctive Microbial Signatures and Gut-Brain Crosstalk in Pediatric Patients with Coeliac Disease and Type 1 Diabetes Mellitus	https://www.mdpi.com/1422-0067/22/4/1511	Feb-21	10.3390/ijms22041511	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Maternal fibre and gluten intake during pregnancy and risk of childhood celiac disease: the MoBa study	https://www.nature.com/articles/s41598-020-73244-4	Oct-20	10.1038/s41598-020-73244-4	NA	NA	Scopus	unavailable	large fees to obtain data (confirmed via email)	16S
Effect of Bifidobacterium infantis NLS super strain in symptomatic coeliac disease patients on long-term gluten-free diet   an exploratory study in	https://brill.com/view/journals/bm/11/6/article-p527_3.xml	Oct-20	10.3920/BM2020.0016	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Feasibility and effects on the gut microbiota of a 12-week high-intensity interval training plus lifestyle education intervention on inactive adults with celiac disease	https://cdnsciencepub.com/doi/10.1139/apnm-2020-0459	Sept-20	10.1139/apnm-2020-0459	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Multi-omics analysis reveals the influence of genetic and environmental risk factors on developing gut microbiota in infants at risk of celiac disease	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00906-w	Sept-20	10.1186/s40168-020-00906-w	https://www.ncbi.nlm.nih.gov/bioproject/486782	PRJNA486782	NCBI SRA	listed on SRA	removed from SRA and no email response from corresponding author(s)	SG
Alterations in Intestinal Microbiota of Children With Celiac Disease at the Time of Diagnosis and on a Gluten-free Diet	https://www.gastrojournal.org/article/S0016-5085(20)35023-X/fulltext	Aug-20	10.1053/j.gastro.2020.08.007	NA	NA	Scopus	unavailable	privacy controls (confirmed via email)	16S
Enteric parasitic infection disturbs bacterial structure in Mexican children with autoantibodies for type 1 diabetes and/or celiac disease	https://gutpathogens.biomedcentral.com/articles/10.1186/s13099-020-00376-3	Aug-20	10.1186/s13099-020-00376-3	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
"Comparative Study of Salivary, Duodenal, and Fecal Microbiota Composition Across Adult Celiac Disease"	https://www.mdpi.com/2077-0383/9/4/1109	Apr-20	10.3390/jcm9041109	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
A 12-Week Pilot Exercise Program for Inactive Adults With Celiac Disease: Study Protocol	https://journals.sagepub.com/doi/10.1177/2164956119853777	Jun-19	10.1177/2164956119853777	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Analysis of blood and fecal microbiome profile in patients with celiac disease	https://www.sciencedirect.com/science/article/pii/S2452231718300368?via%3Dihub	Mar-19	10.1016/j.humic.2018.12.001	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Clinical and Microbiological Effect of a Multispecies Probiotic Supplementation in Celiac Patients With Persistent IBS-type Symptoms	https://journals.lww.com/jcge/fulltext/2019/03000/clinical_and_microbiological_effect_of_a.6.aspx	Mar-19	10.1097/MCG.0000000000001023	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Gut microbiota associations with common diseases and prescription medications in a population-based cohort	https://www.nature.com/articles/s41467-018-05184-7	Jul-18	10.1038/s41467-018-05184-7	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB13747	PRJEB13747	NCBI SRA	available on SRA	large fees to obtain celiac related metadata (confirmed via email)	16S
Clinical intervention using Bifidobacterium strains in celiac disease children reveals novel microbial modulators of TNF-? and short-chain fatty acids	https://www.sciencedirect.com/science/article/pii/S0261561418311506?via%3Dihub	Jun-18	10.1016/j.clnu.2018.06.931	NA	NA	Scopus	unavailable	data unavailable/lost (confirmed via email)	16S
Early fecal microbiota composition in children who later develop celiac disease and associated autoimmunity	https://www.tandfonline.com/doi/full/10.1080/00365521.2018.1444788	Jan-18	10.1080/00365521.2018.1444788	NA	NA	Scopus	unavailable	no email response from corresponding author(s)	16S
Duodenal Mucosa of Patients With Type 1 Diabetes Shows Distinctive Inflammatory Profile and Microbiota	https://academic.oup.com/jcem/article/102/5/1468/2926660	Jan-17	10.1210/jc.2016-3222	NA	NA	Scopus	unavailable	data lost (confirmed via email)	16S
Study of duodenal bacterial communities by 16S rRNA gene analysis in adults with active celiac disease vs non?celiac disease controls	https://academic.oup.com/jambio/article/120/6/1691/6717131	Jun-16	10.1111/jam.13111	NA	NA	Scopus	unavailable	data lost (confirmed via email)	16S
Metagenomics Reveals Dysbiosis and a Potentially Pathogenic N. flavescens Strain in Duodenum of Adult Celiac Patients	https://journals.lww.com/ajg/abstract/2016/06000/metagenomics_reveals_dysbiosis_and_a_potentially.31.aspx	Jun-16	10.1038/ajg.2016.95	https://www.ncbi.nlm.nih.gov/bioproject/371697	PRJNA371697	NCBI SRA	listed on SRA	SRA doesn't include all samples and no email response from corresponding author(s)	16S
