Dataset_ID	Age_Min	Age_Mean	Age_Max	Age_SD
16S_136_Nobel		NA		NA
16S_20_Rawson	18.0	NA	54.0	NA
16S_60_Shi	19	40.35	65	11.693580739383235
16S_96_Quagliariello	1.0	NA	19.0	NA
16S_27_Fornasaro	3.0	NA	24.0	NA
16S_49_Turjeman	1.8	NA	49.9	NA
16S_102_Bodkhe	12.0	27.712871287128714	55.0	11.114258080198937
16S_50_Bibbo	18.0	NA	60.0	NA
16S_227_Oscarsson	3.0	NA	7.0	NA
16S_5_Senicar	13	14.2	16	1.3038404810405297
16S_99_Lionetti	2.0	NA	16.0	NA
16S_80_Garcia	21	36.975	73	15.554701352877693
16S_119_Salamon	2.0	NA	18.0	NA
16S_27_Federica	17	36.77777777777778	56	13.109988362763518
16S_24_Giacomin	22	48.708333333333336	75	10.928539290064924
16S_20_Caminero	18.0	NA	72.0	NA
16S_179_Verdu	17.0	NA	75.0	NA
16S_25_Francavilla		NA		NA
16S_62_Tian	18	38.95161290322581	72	16.36812918734457
16S_56_Laffaldano	3	30.214285714285715	66	16.633716346040035
16S_39_Olivares	0.33	0.4171794871794873	0.5	0.08608284620211164
16S_1211_Milletich	1	1.0	1	0.0
16S_68_Girdhar	1.0	3.235294117647059	5.0	1.4874364108703242
SG_132_Francavilla	19	42.28030303030303	78	14.56352989356999
SG_80_Mouzan	2.0	NA	17.2	NA
SG_39_Judith	18	34.69230769230769	60	11.138255193024591
SG_95_Costigan	20	44.56842105263158	70	14.186187942201629
SG_118_Leonard	0.25	1.396186440677966	4.0	0.7354909047198913
