Dataset_ID	Num_ASVs_Classified_Genus	Num_ASVs_Classified_Species
16S_102_Bodkhe	5582.0	0.0
16S_119_Salamon	8012.0	88.0
16S_1211_Milletich	10348.0	3.0
16S_136_Nobel	15499.0	131.0
16S_179_Verdu	3069.0	518.0
16S_20_Caminero	447.0	106.0
16S_20_Rawson	1243.0	12.0
16S_227_Oscarsson	8731.0	20.0
16S_24_Giacomin	632.0	120.0
16S_25_Francavilla	628.0	0.0
16S_27_Federica	1178.0	1.0
16S_27_Fornasaro	976.0	168.0
16S_39_Olivares	571.0	160.0
16S_49_Turjeman	919.0	198.0
16S_50_Bibbo	2080.0	8.0
16S_56_Laffaldano	1377.0	42.0
16S_5_Senicar	873.0	2.0
16S_60_Shi	18188.0	23.0
16S_62_Tian	3379.0	220.0
16S_68_Girdhar	739.0	136.0
16S_80_Garcia	4036.0	4.0
16S_96_Quagliariello	8548.0	49.0
16S_99_Lionetti	12995.0	106.0
