Month	accumulative_celiac_samples	monthly_increase_celiac_samples
2014-04	0	0
2014-05	12	12
2014-06	12	0
2014-07	12	0
2014-08	12	0
2014-09	12	0
2014-10	12	0
2014-11	12	0
2014-12	12	0
2015-01	12	0
2015-02	12	0
2015-03	12	0
2015-04	12	0
2015-05	12	0
2015-06	12	0
2015-07	12	0
2015-08	12	0
2015-09	12	0
2015-10	12	0
2015-11	12	0
2015-12	12	0
2016-01	12	0
2016-02	12	0
2016-03	12	0
2016-04	12	0
2016-05	12	0
2016-06	12	0
2016-07	12	0
2016-08	12	0
2016-09	12	0
2016-10	92	80
2016-11	116	24
2016-12	116	0
2017-01	116	0
2017-02	116	0
2017-03	146	30
2017-04	146	0
2017-05	146	0
2017-06	146	0
2017-07	146	0
2017-08	146	0
2017-09	146	0
2017-10	146	0
2017-11	146	0
2017-12	146	0
2018-01	146	0
2018-02	165	19
2018-03	165	0
2018-04	165	0
2018-05	165	0
2018-06	165	0
2018-07	201	36
2018-08	201	0
2018-09	201	0
2018-10	201	0
2018-11	220	19
2018-12	220	0
2019-01	220	0
2019-02	257	37
2019-03	269	12
2019-04	269	0
2019-05	269	0
2019-06	269	0
2019-07	269	0
2019-08	269	0
2019-09	269	0
2019-10	269	0
2019-11	269	0
2019-12	269	0
2020-01	269	0
2020-02	269	0
2020-03	269	0
2020-04	269	0
2020-05	269	0
2020-06	269	0
2020-07	319	50
2020-08	319	0
2020-09	319	0
2020-10	319	0
2020-11	319	0
2020-12	319	0
2021-01	319	0
2021-02	319	0
2021-03	319	0
2021-04	319	0
2021-05	319	0
2021-06	546	227
2021-07	603	57
2021-08	603	0
2021-09	603	0
2021-10	603	0
2021-11	608	5
2021-12	664	56
2022-01	704	40
2022-02	704	0
2022-03	723	19
2022-04	723	0
2022-05	723	0
2022-06	723	0
2022-07	749	26
2022-08	749	0
2022-09	766	17
2022-10	766	0
2022-11	891	125
2022-12	891	0
2023-01	925	34
2023-02	998	73
2023-03	998	0
2023-04	998	0
2023-05	998	0
2023-06	998	0
2023-07	998	0
2023-08	1017	19
2023-09	1017	0
2023-10	1116	99
2023-11	1116	0
2023-12	1116	0
2024-01	1116	0
2024-02	1116	0
2024-03	1116	0
2024-04	1196	80
2024-05	1196	0
2024-06	1196	0
2024-07	1196	0
2024-08	1196	0
2024-09	1196	0
2024-10	1196	0
2024-11	1196	0
2024-12	1238	42
2025-01	1238	0
2025-02	1238	0
2025-03	1238	0
2025-04	1238	0
2025-05	1238	0
2025-06	1277	39
