Dataset_ID	Percent_Reads_Remaining
SG_39_Judith	99.99
SG_39_Judith	100.0
SG_39_Judith	99.99
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	99.99
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	99.99
SG_39_Judith	100.0
SG_39_Judith	99.91
SG_39_Judith	100.0
SG_39_Judith	99.99
SG_39_Judith	100.0
SG_39_Judith	99.99
SG_39_Judith	99.94
SG_39_Judith	100.0
SG_39_Judith	99.97
SG_39_Judith	99.99
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	99.97
SG_39_Judith	99.99
SG_39_Judith	99.95
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	100.0
SG_39_Judith	99.99
SG_39_Judith	99.92
SG_39_Judith	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.98
SG_95_Costigan	99.98
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.98
SG_95_Costigan	100.0
SG_95_Costigan	99.98
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.98
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	99.97
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.95
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_95_Costigan	99.99
SG_95_Costigan	100.0
SG_118_Leonard	99.96
SG_118_Leonard	99.65
SG_118_Leonard	99.83
SG_118_Leonard	99.95
SG_118_Leonard	99.76
SG_118_Leonard	99.85
SG_118_Leonard	99.87
SG_118_Leonard	99.92
SG_118_Leonard	99.9
SG_118_Leonard	99.86
SG_118_Leonard	99.98
SG_118_Leonard	99.92
SG_118_Leonard	99.92
SG_118_Leonard	99.93
SG_118_Leonard	99.97
SG_118_Leonard	99.92
SG_118_Leonard	99.98
SG_118_Leonard	99.97
SG_118_Leonard	99.71
SG_118_Leonard	99.94
SG_118_Leonard	99.95
SG_118_Leonard	99.93
SG_118_Leonard	99.98
SG_118_Leonard	99.98
SG_118_Leonard	99.96
SG_118_Leonard	99.94
SG_118_Leonard	99.97
SG_118_Leonard	99.87
SG_118_Leonard	99.78
SG_118_Leonard	99.98
SG_118_Leonard	99.98
SG_118_Leonard	99.97
SG_118_Leonard	99.93
SG_118_Leonard	81.22
SG_118_Leonard	99.93
SG_118_Leonard	99.83
SG_118_Leonard	99.94
SG_118_Leonard	99.85
SG_118_Leonard	99.81
SG_118_Leonard	99.26
SG_118_Leonard	98.97
SG_118_Leonard	99.99
SG_118_Leonard	99.89
SG_118_Leonard	99.76
SG_118_Leonard	99.94
SG_118_Leonard	99.98
SG_118_Leonard	99.92
SG_118_Leonard	99.97
SG_118_Leonard	99.94
SG_118_Leonard	99.87
SG_118_Leonard	99.82
SG_118_Leonard	99.95
SG_118_Leonard	99.93
SG_118_Leonard	99.98
SG_118_Leonard	99.85
SG_118_Leonard	99.88
SG_118_Leonard	98.99
SG_118_Leonard	99.79
SG_118_Leonard	98.64
SG_118_Leonard	99.12
SG_118_Leonard	99.94
SG_118_Leonard	99.96
SG_118_Leonard	99.64
SG_118_Leonard	99.93
SG_118_Leonard	99.5
SG_118_Leonard	99.35
SG_118_Leonard	99.68
SG_118_Leonard	81.65
SG_118_Leonard	99.99
SG_118_Leonard	99.91
SG_118_Leonard	99.52
SG_118_Leonard	99.92
SG_118_Leonard	99.9
SG_118_Leonard	88.93
SG_118_Leonard	99.99
SG_118_Leonard	99.99
SG_118_Leonard	99.94
SG_118_Leonard	99.91
SG_118_Leonard	99.98
SG_118_Leonard	99.95
SG_118_Leonard	99.95
SG_118_Leonard	99.95
SG_118_Leonard	99.99
SG_118_Leonard	99.96
SG_118_Leonard	99.96
SG_118_Leonard	99.97
SG_118_Leonard	99.68
SG_118_Leonard	99.79
SG_118_Leonard	99.82
SG_118_Leonard	99.67
SG_118_Leonard	99.59
SG_118_Leonard	99.68
SG_118_Leonard	99.77
SG_118_Leonard	99.28
SG_118_Leonard	99.92
SG_118_Leonard	99.81
SG_118_Leonard	99.96
SG_118_Leonard	99.93
SG_118_Leonard	99.91
SG_118_Leonard	99.97
SG_118_Leonard	99.86
SG_118_Leonard	99.98
SG_118_Leonard	99.93
SG_118_Leonard	98.82
SG_118_Leonard	99.68
SG_118_Leonard	99.87
SG_118_Leonard	99.84
SG_118_Leonard	99.99
SG_118_Leonard	94.91
SG_118_Leonard	99.82
SG_118_Leonard	99.97
SG_118_Leonard	99.97
SG_118_Leonard	99.87
SG_118_Leonard	99.93
SG_118_Leonard	99.99
SG_118_Leonard	99.98
SG_118_Leonard	99.97
SG_118_Leonard	99.93
SG_132_Francavilla	99.92
SG_132_Francavilla	99.97
SG_132_Francavilla	99.99
SG_132_Francavilla	99.99
SG_132_Francavilla	99.98
SG_132_Francavilla	99.84
SG_132_Francavilla	99.99
SG_132_Francavilla	99.96
SG_132_Francavilla	99.44
SG_132_Francavilla	99.93
SG_132_Francavilla	99.12
SG_132_Francavilla	98.77
SG_132_Francavilla	99.95
SG_132_Francavilla	99.92
SG_132_Francavilla	99.56
SG_132_Francavilla	99.96
SG_132_Francavilla	99.97
SG_132_Francavilla	99.8
SG_132_Francavilla	98.59
SG_132_Francavilla	99.81
SG_132_Francavilla	99.89
SG_132_Francavilla	99.91
SG_132_Francavilla	99.99
SG_132_Francavilla	99.9
SG_132_Francavilla	99.69
SG_132_Francavilla	99.98
SG_132_Francavilla	99.96
SG_132_Francavilla	99.8
SG_132_Francavilla	99.98
SG_132_Francavilla	99.78
SG_132_Francavilla	99.77
SG_132_Francavilla	99.93
SG_132_Francavilla	99.78
SG_132_Francavilla	99.98
SG_132_Francavilla	99.92
SG_132_Francavilla	99.44
SG_132_Francavilla	99.93
SG_132_Francavilla	99.79
SG_132_Francavilla	99.99
SG_132_Francavilla	99.89
SG_132_Francavilla	100.0
SG_132_Francavilla	99.97
SG_132_Francavilla	99.94
SG_132_Francavilla	99.94
SG_132_Francavilla	96.83
SG_132_Francavilla	99.99
SG_132_Francavilla	99.99
SG_132_Francavilla	99.88
SG_132_Francavilla	99.98
SG_132_Francavilla	99.45
SG_132_Francavilla	99.9
SG_132_Francavilla	98.99
SG_132_Francavilla	99.9
SG_132_Francavilla	99.77
SG_132_Francavilla	98.94
SG_132_Francavilla	99.98
SG_132_Francavilla	99.99
SG_132_Francavilla	99.85
SG_132_Francavilla	99.96
SG_132_Francavilla	99.49
SG_132_Francavilla	99.99
