Dataset_ID	Total_Num_ASVs
16S_60_Shi	22403.0
16S_136_Nobel	19917.0
16S_102_Bodkhe	15632.0
16S_1211_Milletich	15033.0
16S_99_Lionetti	14286.0
16S_227_Oscarsson	10463.0
16S_96_Quagliariello	9835.0
16S_119_Salamon	9112.0
16S_62_Tian	5474.0
16S_179_Verdu	5073.0
16S_80_Garcia	5017.0
16S_50_Bibbo	2946.0
16S_56_Laffaldano	1688.0
16S_20_Rawson	1432.0
16S_27_Fornasaro	1264.0
16S_27_Federica	1235.0
16S_49_Turjeman	1165.0
16S_68_Girdhar	986.0
16S_5_Senicar	982.0
16S_20_Caminero	824.0
16S_24_Giacomin	743.0
16S_25_Francavilla	670.0
16S_39_Olivares	598.0
