Dataset_ID	Num_Reads_Nonchim_Median	DNA_Extraction_Is_Mechanical
16S_102_Bodkhe	196162.5	False
16S_119_Salamon	22853.0	False
16S_1211_Milletich	40203.0	True
16S_136_Nobel	22650.0	True
16S_179_Verdu	62705.0	True
16S_20_Caminero	72187.5	unavailable/unclear
16S_20_Rawson	3138.0	True
16S_227_Oscarsson	14371.0	True
16S_24_Giacomin	141047.5	False
16S_25_Francavilla	1943.0	True
16S_27_Federica	9952.0	True
16S_27_Fornasaro	70385.0	True
16S_39_Olivares	10859.0	True
16S_49_Turjeman	19436.0	True
16S_50_Bibbo	51741.0	False
16S_56_Laffaldano	9890.5	False
16S_5_Senicar	8127.0	True
16S_60_Shi	50854.0	True
16S_62_Tian	40807.5	False
16S_68_Girdhar	12028.5	True
16S_80_Garcia	66049.5	False
16S_96_Quagliariello	29478.0	False
16S_99_Lionetti	34577.0	False
