Dataset_ID	Num_Samples_With_Significant_Factor	Num_Samples_Without_Significant_Factor	Num_Samples_With_Unknown_Significant_Factor_Status
16S_102_Bodkhe	0	102	0
16S_119_Salamon	0	119	0
16S_1211_Milletich	0	1211	0
16S_136_Nobel	70	66	0
16S_179_Verdu	0	179	0
16S_20_Caminero	0	20	0
16S_20_Rawson	0	8	12
16S_227_Oscarsson	77	150	0
16S_24_Giacomin	12	12	0
16S_25_Francavilla	0	25	0
16S_27_Federica	10	17	0
16S_27_Fornasaro	0	27	0
16S_39_Olivares	0	39	0
16S_49_Turjeman	0	49	0
16S_50_Bibbo	20	30	0
16S_56_Laffaldano	0	56	0
16S_5_Senicar	0	5	0
16S_60_Shi	0	60	0
16S_62_Tian	2	60	0
16S_68_Girdhar	0	68	0
16S_80_Garcia	35	25	20
16S_96_Quagliariello	20	76	0
16S_99_Lionetti	34	65	0
SG_118_Leonard	0	118	0
SG_132_Francavilla	0	132	0
SG_39_Judith	0	39	0
SG_80_Mouzan	0	80	0
SG_95_Costigan	0	95	0
