Dataset_ID	Sex_Proportion_Female	Sex_Proportion_Male
16S_20_Rawson	0.75	0.25
16S_60_Shi	0.7666666666666667	0.23333333333333334
16S_49_Turjeman	0.6326530612244898	0.2857142857142857
16S_102_Bodkhe	0.37254901960784315	0.6274509803921569
16S_5_Senicar	0.4	0.6
16S_80_Garcia	0.75	0.25
16S_27_Federica	0.7037037037037037	0.2962962962962963
16S_24_Giacomin	0.5	0.5
16S_62_Tian	0.7580645161290323	0.24193548387096775
16S_56_Laffaldano	0.7142857142857143	0.2857142857142857
16S_39_Olivares	0.6153846153846154	0.38461538461538464
16S_1211_Milletich	0.4929810074318745	0.5070189925681255
16S_68_Girdhar	0.7205882352941176	0.27941176470588236
SG_132_Francavilla	0.7651515151515151	0.23484848484848486
SG_39_Judith	0.8717948717948718	0.1282051282051282
SG_95_Costigan	0.5789473684210527	0.42105263157894735
SG_118_Leonard	0.576271186440678	0.423728813559322
