"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX13014976","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953035","","21.84","1","66708","40158216","1114","AMPLICON","METAGENOMIC","PCR"
"SRX13014975","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953034","","38.2","1","116374","70057148","1054","AMPLICON","METAGENOMIC","PCR"
"SRX13014974","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953033","","43.55","1","134525","80984050","1044","AMPLICON","METAGENOMIC","PCR"
"SRX13014973","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953032","","41.91","1","130465","78539930","1034","AMPLICON","METAGENOMIC","PCR"
"SRX13014972","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953031","","36.54","1","115569","69572538","1024","AMPLICON","METAGENOMIC","PCR"
"SRX13014971","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953030","","38.43","1","120461","72517522","1014","AMPLICON","METAGENOMIC","PCR"
"SRX13014970","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953029","","13.55","1","40061","24116722","154","AMPLICON","METAGENOMIC","PCR"
"SRX13014969","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953028","","19.26","1","58548","35245896","954","AMPLICON","METAGENOMIC","PCR"
"SRX13014968","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953027","","20.25","1","62636","37706872","944","AMPLICON","METAGENOMIC","PCR"
"SRX13014967","Gluten_Challenge","gut metagenome","Illumina MiSeq","Columbia University","SRP344810","Gluten Challenge","SRS10953026","","23.07","1","71660","43139320","934","AMPLICON","METAGENOMIC","PCR"
