"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX11408584","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320810","","1533.91","1","16950679","5067397542","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408597","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320823","","1632.21","1","18123608","5405390421","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408592","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320818","","1351.95","1","15111733","4515727408","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408588","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320814","","1765.93","1","19603947","5853194823","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408604","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320830","","1574.47","1","17554328","5241863703","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408574","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320800","","877.01","1","9645166","2880925487","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408589","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320815","","1972.4","1","21863372","6536382824","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408585","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320811","","1601.27","1","17832000","5329679352","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408605","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320831","","1469.95","1","16349172","4887735308","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408580","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320806","","1578.87","1","17497208","5223349575","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408606","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320832","","1418.75","1","15774819","4715728413","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408587","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320813","","1760.36","1","19634824","5862627665","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408609","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320835","","1549.35","1","17122709","5114795093","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408572","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320798","","1794.99","1","20013867","5965581502","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408576","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320802","","1680.18","1","18808473","5623688789","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408583","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320809","","1432.83","1","15902006","4752743406","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408593","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320819","","2056.85","1","22796904","6814523526","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408598","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320824","","1945.62","1","21832141","6518555154","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408599","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320825","","1707.53","1","19086688","5696488489","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408608","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320834","","1893.19","1","21107672","6294484224","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408590","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320816","","1462.91","1","16338020","4877168353","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408573","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320799","","940.25","1","10554775","3155017006","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408577","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320803","","1339.61","1","14754816","4408743351","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408575","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320801","","1607.09","1","17911083","5352854796","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408596","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320822","","2211.26","1","24456632","7310698961","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408579","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320805","","2429.01","1","26959446","8046706616","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408602","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320828","","1999.62","1","22012735","6572955374","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408595","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320821","","1544.63","1","17219668","5147991838","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408581","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320807","","2059.55","1","22710024","6787669503","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408601","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320827","","1794.76","1","20079860","5999725983","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408571","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320797","","2026.47","1","22441140","6709539007","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
"ERX11408603","Illumina NovaSeq 6000 paired end sequencing","human gut metagenome","Illumina NovaSeq 6000","imdea food institute","ERP150971","Non-Responding Celiac Disease","ERS16320829","","1606.69","1","17895934","5349548215","MetaDNA library","AMPLICON","METAGENOMIC","PCR"
