"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX15890605","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579709","","5.33","1","17778","8889000","1281","AMPLICON","METAGENOMIC","PCR"
"SRX15890604","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579708","","5.49","1","17748","8874000","1251","AMPLICON","METAGENOMIC","PCR"
"SRX15890603","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579707","","10.61","1","34985","17492500","1250","AMPLICON","METAGENOMIC","PCR"
"SRX15890602","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579706","","2.53","1","8323","4161500","1217","AMPLICON","METAGENOMIC","PCR"
"SRX15890601","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579705","","7","1","23337","11668500","1203","AMPLICON","METAGENOMIC","PCR"
"SRX15890600","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579704","","5.09","1","16164","8082000","1192","AMPLICON","METAGENOMIC","PCR"
"SRX15890599","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579703","","2.42","1","7960","3980000","1161","AMPLICON","METAGENOMIC","PCR"
"SRX15890598","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579702","","3.92","1","13091","6545500","1135","AMPLICON","METAGENOMIC","PCR"
"SRX15890597","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579701","","5.48","1","18433","9216500","1469","AMPLICON","METAGENOMIC","PCR"
"SRX15890596","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579700","","1.79","1","5825","2912500","1459","AMPLICON","METAGENOMIC","PCR"
"SRX15890595","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579699","","2.49","1","8087","4043500","1454","AMPLICON","METAGENOMIC","PCR"
"SRX15890594","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579698","","3.04","1","10435","5217500","1445","AMPLICON","METAGENOMIC","PCR"
"SRX15890593","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579697","","9.86","1","32803","16401500","1444","AMPLICON","METAGENOMIC","PCR"
"SRX15890592","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579696","","2.8","1","8860","4430000","1388","AMPLICON","METAGENOMIC","PCR"
"SRX15890591","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579695","","4.65","1","15662","7831000","1380","AMPLICON","METAGENOMIC","PCR"
"SRX15890590","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579694","","12.96","1","42906","21453000","1376","AMPLICON","METAGENOMIC","PCR"
"SRX15890589","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579693","","3.06","1","9864","4932000","1341","AMPLICON","METAGENOMIC","PCR"
"SRX15890588","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579692","","2.15","1","6783","3391500","1309","AMPLICON","METAGENOMIC","PCR"
"SRX15890587","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579691","","5.9","1","19122","9561000","1111","AMPLICON","METAGENOMIC","PCR"
"SRX15890586","16S microbiome of human GI tract","human gut metagenome","Illumina MiSeq","Utah Valley University","SRP383488","Celiac's and Gluten-Free GI Microbiome","SRS13579690","","5.47","1","17568","8784000","1106","AMPLICON","METAGENOMIC","PCR"
