"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX1622076","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269837","","0.37","1","669","396888","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622075","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269836","","67.26","1","170537","102028291","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622074","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269835","","38.59","1","97290","58216994","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622073","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269834","","13.3","1","34122","20386846","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622072","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269833","","41.82","1","104674","62660954","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622071","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269832","","63.83","1","160275","95983077","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622070","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269831","","37.86","1","93874","56214689","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622069","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269830","","45.49","1","116184","69548213","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622068","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269829","","42.15","1","105630","63233073","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622067","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269828","","57.31","1","143727","86050382","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622066","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269827","","24.21","1","60757","36348285","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622065","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269826","","42.34","1","104876","62805297","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622064","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269825","","88.26","1","222247","133069516","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622063","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269824","","49.51","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622062","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269823","","27.54","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622061","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269822","","27.23","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622060","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269821","","43.65","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622059","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269820","","35.78","1","92016","54903087","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622058","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269819","","54.38","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622057","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269818","","40.93","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622056","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269817","","34.3","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622055","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269816","","41.15","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622054","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269815","","35.48","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622053","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269814","","52.5","1","0","0","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622052","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269813","","64.69","1","164695","98422393","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622051","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269812","","53.82","1","137151","81969691","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622050","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269811","","38.26","1","96454","57622378","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622049","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269810","","23.33","1","59739","35729085","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622048","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269809","","54.35","1","136373","81677916","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622047","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269808","","45.02","1","114642","68579049","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622046","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269807","","63.51","1","159619","95551611","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622045","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269806","","37.27","1","94729","56731191","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622044","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269805","","42.89","1","109986","65775754","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622043","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269804","","43.92","1","110079","65854936","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622042","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269803","","42.19","1","105588","63238246","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622041","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269802","","47.48","1","119889","71751629","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622040","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269801","","37.36","1","93660","56090876","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622039","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269800","","2.73","1","6602","3949217","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622038","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269799","","41.33","1","103338","61870901","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622037","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269798","","19.36","1","49942","29867881","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622036","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269797","","66.27","1","168254","100590524","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622035","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269796","","26.22","1","66403","39740983","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622034","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269795","","36.92","1","94342","56375402","unspecified","AMPLICON","METAGENOMIC","PCR"
"ERX1622033","Illumina MiSeq paired end sequencing","uncultured bacterium","Illumina MiSeq","BiGeA","ERP016623","Effect of Bifidobacterium breve on the intestinal microbiota of coeliac children on a gluten free diet.","ERS1269794","","72.47","1","182533","109211972","unspecified","AMPLICON","METAGENOMIC","PCR"
