Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection
SRX26491443,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004663,,2750.56,1,21852652,6599500904,Control_7_15_Month,WGS,METAGENOMIC,PCR
SRX26491442,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004662,,2785.25,1,23114705,6980640910,Control_7_12_Month,WGS,METAGENOMIC,PCR
SRX26491441,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004661,,2152.25,1,18028212,5444520024,Control_6_Subject_14_4-6_Month,WGS,METAGENOMIC,PCR
SRX26491440,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004660,,2079.32,1,16598629,5012785958,Control_6_24_Month,WGS,METAGENOMIC,PCR
SRX26491439,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004659,,2070.08,1,17305054,5226126308,Control_6_21_Month,WGS,METAGENOMIC,PCR
SRX26491438,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004658,,2440.51,1,19455488,5875557376,Control_6_18_Month,WGS,METAGENOMIC,PCR
SRX26491437,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004657,,2182.37,1,18421758,5563370916,Control_6_15_Month,WGS,METAGENOMIC,PCR
SRX26491436,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004655,,2241.62,1,18865042,5697242684,Control_6_12_Month,WGS,METAGENOMIC,PCR
SRX26491435,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004656,,2812.66,1,22896858,6914851116,Control_6_9_Month,WGS,METAGENOMIC,PCR
SRX26491434,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004654,,2622.22,1,21623829,6530396358,Control_5_48_Month,WGS,METAGENOMIC,PCR
SRX26491433,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004652,,2047.44,1,17249989,5209496678,Case_10_18_Month,WGS,METAGENOMIC,PCR
SRX26491432,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004653,,2256.92,1,18760172,5665571944,Control_5_42_Month,WGS,METAGENOMIC,PCR
SRX26491431,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004651,,2580.08,1,21567832,6513485264,Control_5_36_Month,WGS,METAGENOMIC,PCR
SRX26491430,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004649,,2112.92,1,17841528,5388141456,Control_5_33_Month,WGS,METAGENOMIC,PCR
SRX26491429,Metagenome,metagenome,Illumina HiSeq 2500,sra_cosmosid,SRP158417,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,SRS23004650,,1995.96,1,15929568,4810729536,Control_5_30_Month,WGS,METAGENOMIC,PCR
