"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX5036166","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066250","","26.9","1","86877","43612254","EV325","AMPLICON","METAGENOMIC","PCR"
"SRX5036165","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066249","","16.78","1","53662","26938324","EV324","AMPLICON","METAGENOMIC","PCR"
"SRX5036164","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066248","","21.75","1","65706","32984412","EV323","AMPLICON","METAGENOMIC","PCR"
"SRX5036163","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066247","","19.98","1","60577","30409654","EV322","AMPLICON","METAGENOMIC","PCR"
"SRX5036162","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066246","","7.87","1","23755","11925010","EV321","AMPLICON","METAGENOMIC","PCR"
"SRX5036161","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066245","","14.81","1","60423","30332346","EV429","AMPLICON","METAGENOMIC","PCR"
"SRX5036160","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066244","","18.64","1","75627","37964754","EV428","AMPLICON","METAGENOMIC","PCR"
"SRX5036159","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066243","","23.7","1","97818","49104636","EV427","AMPLICON","METAGENOMIC","PCR"
"SRX5036158","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066242","","17.14","1","68016","34144032","EV431","AMPLICON","METAGENOMIC","PCR"
"SRX5036157","16S RNA gene sequencing of intestinal washes from ex-germ free mice colonized with human aspirates from celiac patients and healthy volunteers","mouse gut metagenome","Illumina MiSeq","McMaster University","SRP136344","16S RNA gene sequencing of fecal samples from celiac patients and healthy volunteers, small intestinal washes from mice colonized with human stool samples and small intestinal washes from clean SPF mice colonized with Pseudomonas aeruginosa.","SRS4066241","","14.92","1","61114","30679228","EV430","AMPLICON","METAGENOMIC","PCR"
