"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX14372722","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185518","","30.66","1","103691","52052882","Run999-EV448","AMPLICON","METAGENOMIC","PCR"
"SRX14372721","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185519","","30.01","1","105227","52823954","Run999-EV445","AMPLICON","METAGENOMIC","PCR"
"SRX14372720","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185517","","34.22","1","117444","58956888","Run999-EV444","AMPLICON","METAGENOMIC","PCR"
"SRX14372719","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185516","","22.61","1","72498","36973980","LR171-EV204","AMPLICON","METAGENOMIC","PCR"
"SRX14372718","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185513","","33.77","1","118266","59369532","Run999-EV443","AMPLICON","METAGENOMIC","PCR"
"SRX14372717","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185515","","22.68","1","76262","38283524","Run999-EV442","AMPLICON","METAGENOMIC","PCR"
"SRX14372716","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185514","","34.74","1","122130","61309260","Run999-EV441","AMPLICON","METAGENOMIC","PCR"
"SRX14372715","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185512","","31.78","1","113073","56762646","Run999-EV440","AMPLICON","METAGENOMIC","PCR"
"SRX14372714","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185510","","25.87","1","92564","46467128","Run999-EV439","AMPLICON","METAGENOMIC","PCR"
"SRX14372713","16S rRNA gene sequencing from human samples","gut metagenome","Illumina MiSeq","McMaster University","SRP362541","Biogeographic variation and functional pathways of the gut microbiota in celiac disease","SRS12185511","","33.75","1","118898","59686796","Run999-EV438","AMPLICON","METAGENOMIC","PCR"
