"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX8292889","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614128","","6.35","1","21675","10880850","sample_30_1_IgA_pos","AMPLICON","METAGENOMIC","PCR"
"SRX8292888","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614127","","7.6","1","25483","12792466","sample_30_1","AMPLICON","METAGENOMIC","PCR"
"SRX8292887","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614126","","6.85","1","22659","11374818","sample_29_1_IgA_neg","AMPLICON","METAGENOMIC","PCR"
"SRX8292886","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614125","","5.24","1","17968","9019936","sample_29_1_IgA_pos","AMPLICON","METAGENOMIC","PCR"
"SRX8292885","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614124","","6.42","1","21509","10797518","sample_29_1","AMPLICON","METAGENOMIC","PCR"
"SRX8292884","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614123","","7.09","1","24056","12076112","sample_28_1_IgA_neg","AMPLICON","METAGENOMIC","PCR"
"SRX8292883","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614122","","4.92","1","17096","8582192","sample_28_1_IgA_pos","AMPLICON","METAGENOMIC","PCR"
"SRX8292882","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614121","","4.21","1","14369","7213238","sample_28_1","AMPLICON","METAGENOMIC","PCR"
"SRX8292881","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614120","","7.3","1","24111","12103722","sample_27_1_IgA_neg","AMPLICON","METAGENOMIC","PCR"
"SRX8292880","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614119","","8.72","1","28961","14538422","sample_3_1_IgA_neg","AMPLICON","METAGENOMIC","PCR"
"SRX8292879","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614118","","4.57","1","15583","7822666","sample_27_1_IgA_pos","AMPLICON","METAGENOMIC","PCR"
"SRX8292878","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614117","","5.12","1","16938","8502876","sample_27_1","AMPLICON","METAGENOMIC","PCR"
"SRX8292877","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614116","","3.26","1","10541","5291582","sample_26_1_IgA_neg","AMPLICON","METAGENOMIC","PCR"
"SRX8292876","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614115","","4.4","1","14787","7423074","sample_26_1_IgA_pos","AMPLICON","METAGENOMIC","PCR"
"SRX8292875","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614114","","6.53","1","21559","10822618","sample_26_1","AMPLICON","METAGENOMIC","PCR"
"SRX8292874","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614113","","8.98","1","29636","14877272","sample_25_1_IgA_neg","AMPLICON","METAGENOMIC","PCR"
"SRX8292873","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614112","","5.02","1","17269","8669038","sample_25_1_IgA_pos","AMPLICON","METAGENOMIC","PCR"
"SRX8292872","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614111","","7.27","1","24226","12161452","sample_25_1","AMPLICON","METAGENOMIC","PCR"
"SRX8292871","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614110","","8.75","1","29437","14777374","sample_24_1_IgA_neg","AMPLICON","METAGENOMIC","PCR"
"SRX8292870","16S rRNA seq of human gut microbiota","human gut metagenome","Illumina MiSeq","Yale University School of Medicine","SRP260653","Human microbiota microbes Raw sequence reads","SRS6614109","","9.32","1","30828","15475656","sample_24_1_IgA_pos","AMPLICON","METAGENOMIC","PCR"
