"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19049295","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465915","","16.94","1","64475","32311989","35-3Bs8_S35_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049294","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465914","","16.67","1","64987","32602233","34-0Bs8_S34_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049293","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465913","","14.79","1","57393","28727511","33-6Bs6_S33_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049292","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465912","","14.61","1","56266","28157963","31-0Bs6_S31_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049291","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465911","","12.65","1","49413","24764792","32-3Bs6_S32_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049290","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465910","","16.91","1","64789","32446985","30-6Bs4_S30_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049289","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465909","","12.39","1","40165","20140425","29-3Bs4_S29_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049288","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465908","","16.07","1","62470","31327905","28-0Bs4_S28_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049287","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465907","","14.06","1","54033","27102074","11-3A7_S11_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049286","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465906","","14.25","1","52175","26176970","27-6Bs2_S27_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049285","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465905","","15.52","1","60138","30161015","26-3Bs2_S26_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049284","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465904","","14.89","1","56872","28524179","25-0Bs2_S25_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049283","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465903","","15.47","1","58181","29193216","24-6A21_S24_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049282","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465902","","16.38","1","64213","32218658","2-3As7_S2_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049281","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465901","","16.57","1","62074","31125462","22-0A21_S22_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049280","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465900","","16.75","1","63931","32062650","23-3A21_S23_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049279","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465899","","16.75","1","62777","31489617","21-6A13_S21_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049278","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465898","","16.85","1","64182","32209274","20-3A13_S20_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049277","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465897","","15.39","1","58955","29565710","19-0A13_S19_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049276","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465896","","15.96","1","62698","31453556","1-0As7_S1_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049275","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465895","","17.68","1","68767","34510711","99-6B18_S99_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049274","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465894","","18.07","1","70312","35279930","98-0B18_S98_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049273","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465893","","18","1","70447","35288112","97-6B17_S97_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049272","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465892","","13.63","1","53576","26884087","9-6A6_S9_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049271","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465891","","15.44","1","58471","29294374","96-0B17_S96_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049270","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465890","","15.66","1","62382","31298566","95-6Bs23_S95_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049269","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465889","","16.6","1","65518","32872245","94-0Bs23_S94_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049268","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465888","","16.97","1","65605","32924141","93-6Bs21_S93_L001_R1","AMPLICON","METAGENOMIC","PCR"
"SRX19049267","Target metagenomic of Human: faecal sample","human gut metagenome","Illumina MiSeq","University of Catania","SRP417823","stool samples Raw sequence reads","SRS16465887","","16.94","1","66916","33585127","92-0Bs21_S92_L001_R1","AMPLICON","METAGENOMIC","PCR"
